,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2024-01-30,1449.2235971647833,1449.2484377227322,1394.1066401470152,1397.2830810546875,14093978,998.5819848189448,1007.338419115052,991.7440549694523,1000.5005493164062,16085742
2024-01-31,1393.6847810610707,1423.7125336444733,1392.195801594125,1416.1435546875,15130226,1000.4020967435955,1022.2440902784828,987.070629039353,1011.569091796875,25627447
2024-02-01,1424.4569627393994,1432.745590517861,1407.631543948549,1416.1683349609375,13349362,1017.2755035530364,1017.2755035530364,1000.9924764517363,1008.6174926757812,13058880
2024-02-02,1422.6453963923934,1464.0638152243819,1422.6453963923934,1446.9901123046875,19652588,1020.3746743205556,1033.0666601657867,1005.1738843616477,1007.4859619140625,14774650
2024-02-05,1450.0177530325548,1459.6961190035063,1421.007495677393,1428.452392578125,8814432,1006.0102065272255,1009.8964570838909,995.7779026556566,1006.9940795898438,12948430
2024-02-06,1431.2565145548228,1431.2565145548228,1409.3933108861847,1417.309814453125,9047984,1007.0432159063025,1018.2102106949073,1000.3037097510473,1009.8472900390625,12886927
2024-02-07,1425.3752031215413,1438.8504181404362,1418.7491963623445,1431.554443359375,9296568,1011.4214656725248,1014.9142629380416,996.6633703562916,1005.6658325195312,16410895
2024-02-08,1439.3467435794867,1448.752105824393,1417.0368932886952,1439.4708251953125,14694634,1007.5843506463148,1011.6674477599702,969.3609072749921,973.3455810546875,20565502
2024-02-09,1443.31729322881,1461.1602045826953,1440.2896534634558,1450.0177001953125,12556798,972.9028503266528,997.401313514954,969.6068995994941,994.4005126953125,12799837
2024-02-12,1450.017752117624,1450.2659153474917,1431.7529141646626,1441.679443359375,6674430,994.105320862232,995.876280283492,969.360890452768,980.035888671875,8050066
2024-02-13,1444.8063713272154,1468.1337156942297,1443.3173918995335,1454.3358154296875,7715594,989.7762629977263,1010.4868382114652,984.1681747459204,1003.3536987304688,18706292
2024-02-14,1446.7916226083244,1472.749520552248,1446.7916226083244,1470.4912109375,7117888,993.2690157159769,1018.997259686499,991.3012696355923,1006.2069702148438,17878720
2024-02-15,1472.4516121931645,1473.8165098910026,1455.750276105359,1459.7952880859375,10006782,1006.3544812043777,1010.0932466717068,990.3665448403932,1000.2545166015625,10069878
2024-02-16,1465.6271998466532,1466.1483668657747,1447.8339689108675,1449.843994140625,9767498,1006.6989262673613,1009.650485394361,1000.5005380040549,1006.7481079101562,7159395
2024-02-19,1451.3082561823699,1468.6300012389227,1442.8458657695369,1463.17041015625,6729828,1006.8464465307476,1029.1311947979043,1006.8464465307476,1026.91748046875,9388255
2024-02-20,1464.1880192365334,1464.659505178025,1451.0602075132595,1460.2174072265625,7117496,1024.2610180558977,1035.6739206502066,1016.5867607398595,1031.8367919921875,11293528
2024-02-21,1463.170510366537,1477.5888193115914,1446.8414171157522,1456.916748046875,12720292,1039.7569873370444,1046.8408245754547,1031.0988572886058,1034.985107421875,15946325
2024-02-22,1457.3633484018678,1474.0398440634356,1447.2878974462733,1470.8634033203125,18493728,1038.969987954932,1048.808718901475,1023.5232284095382,1045.5618896484375,13432573
2024-02-23,1478.556551746289,1486.5474563697878,1472.4517119404402,1482.6512451171875,14438584,1052.744218252001,1052.744218252001,1040.5934094728898,1044.1845703125,13142759
2024-02-26,1482.5768223248915,1483.5446346905887,1471.607959051116,1476.3974609375,7513106,1036.1166162761153,1045.1683197973161,1033.558570535963,1037.1988525390625,7875941
2024-02-27,1472.1291493159843,1488.9297276070065,1467.1907251784094,1474.73486328125,10826044,1033.8046204513494,1049.0054112267308,1029.6231599356051,1043.1021728515625,10580973
2024-02-28,1472.1042938560004,1480.3185210789975,1439.5205099276588,1444.930419921875,8647950,1045.8569952406344,1047.6771362637548,1025.3432672847086,1029.327880859375,7730332
2024-02-29,1454.2365988812116,1468.1088998815815,1443.8385832706604,1450.0675048828125,23628976,1026.22885861961,1043.5941223069317,1021.7521880889905,1035.231201171875,20944844
2024-03-01,1452.7475417409498,1488.979373154373,1451.7548888255137,1481.1622314453125,12132926,1037.986009477885,1072.3723226042753,1037.0021364831193,1069.37158203125,14909562
2024-03-04,1479.5243736818861,1501.337897909408,1476.2982516112518,1496.3250732421875,10024420,1063.5667080999103,1077.3409300364494,1062.6811983836533,1074.733642578125,11424581
2024-03-05,1494.7119691573153,1496.3250301461744,1475.1319146195472,1489.1778564453125,7107668,1068.6829125129027,1081.7684727754213,1059.1393914895327,1070.503173828125,9222544
2024-03-06,1482.4775132325713,1497.9133152152726,1467.6373999640691,1491.9573974609375,7805676,1062.878109231162,1095.5918883060335,1062.878109231162,1079.4071044921875,21796484
2024-03-07,1491.9325571368477,1492.056638756749,1464.7091224345347,1468.059326171875,8315726,1077.2917746056637,1077.3410163000535,1065.2393294461426,1070.4046630859375,9963926
2024-03-11,1478.060156044582,1478.060156044582,1452.7475073010382,1455.82470703125,11277130,1070.404535791999,1070.404535791999,1059.3852067115477,1061.3037109375,13310362
2024-03-12,1455.8248476863198,1477.0676458601295,1454.2614676999044,1464.5850830078125,9432678,1059.6804892440682,1077.1442354316735,1038.625582496139,1059.483642578125,21785435
2024-03-13,1468.9029635812572,1472.2034859914554,1417.2850129833478,1421.6527099609375,13522134,1059.77885170946,1072.0772645081547,1055.8433596138777,1066.4691162109375,24855870
2024-03-14,1429.1224321842872,1437.882667347047,1415.0268084821887,1420.9578857421875,18571102,1062.5828370894137,1079.4070413229927,1057.7127137934276,1066.124755859375,14231421
2024-03-15,1415.4733954219128,1422.694969713975,1402.5193474045138,1407.80517578125,19223818,1054.7119299877845,1068.7321212212976,1052.7441838497475,1062.92724609375,66192734
2024-03-18,1409.5671563330236,1431.1325169373013,1406.1177116464064,1428.8990478515625,9169392,1057.7128263089558,1067.3055890531218,1042.9547297794695,1063.7635498046875,8769440
2024-03-19,1418.252849649116,1427.0378036957165,1406.8373411480031,1414.778564453125,8275764,1061.0578145795118,1071.1917547663113,1057.9094689437209,1066.4691162109375,16708715
2024-03-20,1417.458614341769,1434.3833942099568,1413.5625245390722,1433.142578125,8488806,1062.5829470306016,1072.4216780216257,1050.2845332918216,1067.0103759765625,18725251
2024-03-21,1441.8532357214951,1447.1887452733042,1434.060934378195,1440.3145751953125,13006936,1074.3893386064215,1082.2603227720363,1061.7465943107402,1064.3538818359375,19992607
2024-03-22,1439.321893152815,1449.2732629085037,1436.716179238339,1444.3348388671875,19527608,1063.7143347625467,1076.061869046459,1061.303773813482,1072.716796875,17214415
2024-03-26,1434.3835274360674,1441.7291835759677,1428.4276096750873,1430.983642578125,11415906,1063.5667354159368,1071.585324555275,1059.58200164128,1066.22314453125,13367635
2024-03-27,1437.3614966588377,1488.9794509587407,1436.368843691532,1481.8819580078125,16326644,1066.223219242338,1074.8813504721743,1062.1402420015347,1066.2724609375,26907245
2024-03-28,1481.90676076149,1494.8856495085238,1467.786296896486,1474.933349609375,21854364,1067.5022626495677,1087.2289654055658,1067.5022626495677,1075.66845703125,22070566
2024-04-01,1481.509712382751,1482.9986918329437,1471.6080232736622,1473.8663330078125,5013880,1078.3740966909645,1085.162724605495,1076.7998037410023,1081.916015625,10848191
2024-04-02,1473.0968689675985,1483.0233977342266,1464.1629930776332,1476.025146484375,8910166,1076.7998684057336,1076.7998684057336,1061.845045296533,1063.7635498046875,14380396
2024-04-03,1471.186101560143,1473.5436523631188,1458.1079713887636,1460.7880859375,7008292,1057.6634084362693,1066.1739333709988,1054.9577578565486,1059.827880859375,15477184
2024-04-04,1468.878217464342,1468.878217464342,1439.3467919062653,1452.1768798828125,14490272,1067.2562910312008,1068.2894057744195,1046.2997470246664,1061.451416015625,21419689
2024-04-05,1450.1417667351745,1459.9938949751336,1445.3025839763254,1449.3724365234375,7442298,1052.7441775200211,1068.4861465296663,1050.235253168432,1065.9281005859375,15340637
2024-04-08,1452.226356281804,1480.0206375610207,1450.2658910334067,1475.057373046875,8357118,1060.9594232885527,1074.1433454810406,1058.9425557038237,1069.6175537109375,8023461
2024-04-09,1478.060211901015,1478.8543827139295,1451.7549092714805,1452.896484375,7071414,1074.340076856861,1097.2643658518941,1070.7490364796934,1089.1966552734375,12298463
2024-04-10,1455.5766564963697,1476.0749645358123,1455.5766564963697,1468.7044677734375,9138330,1093.0337202336968,1098.5435054120717,1087.3273285870816,1091.5087890625,10598000
2024-04-12,1465.031599863232,1475.5536963762681,1452.3255942645226,1456.3707275390625,15551012,1085.7038457563601,1093.9191612122947,1078.1280717650227,1086.58935546875,12216657
2024-04-15,1450.2658952456557,1471.2356878788278,1435.6986653849476,1454.062744140625,12902062,1082.4570746408115,1088.3111913118553,1059.2376948297706,1060.95947265625,10526597
2024-04-16,1442.6721581376476,1460.3662698899807,1440.265047408789,1454.9810791015625,9366184,1053.2853525855292,1057.2699664181264,1045.561852981989,1049.841796875,11278092
2024-04-18,1452.7475160786112,1475.0822062813913,1448.6279823176308,1453.56640625,19005692,1056.67972736376,1060.66446152718,1033.5094674241823,1038.4288330078125,16564216
2024-04-19,1446.0720814485837,1463.1705049395248,1432.4231028577299,1459.323974609375,15741778,1035.9691407376135,1054.7119714804403,1031.1973801854901,1050.03857421875,11284433
2024-04-22,1461.6317610616636,1471.9305352298081,1457.0160218672338,1468.9774169921875,10350362,1061.4023525762484,1071.1426002239434,1053.088552786897,1069.125732421875,10346714
2024-04-23,1468.1337674689391,1482.5272357774581,1444.8561033979943,1448.603271484375,14605554,1082.2603648639933,1082.2603648639933,1065.239312903183,1072.6676025390625,9848215
2024-04-24,1452.7475596039474,1457.7605053579202,1438.8504186169605,1439.5205078125,10462776,1074.6353155118281,1080.686158658188,1071.4377281688085,1079.062744140625,5461309
2024-04-25,1431.9018276580116,1457.189636393573,1430.9091747445573,1449.2484130859375,15943926,1072.4215900322672,1107.4966871577883,1072.3723483406734,1095.78857421875,19905338
2024-04-26,1453.1943211694756,1454.2366552962403,1439.346860190818,1441.878173828125,9413848,1094.2144193811591,1101.9377986819404,1084.9659888361693,1090.032958984375,14190059
2024-04-29,1439.3467183436048,1457.1152296530197,1439.3467183436048,1454.2613525390625,7247974,1090.1313056288498,1144.6870165205935,1090.032942347235,1141.4403076171875,28578063
2024-04-30,1457.2144546560796,1472.178648628076,1452.1271085524606,1456.2218017578125,11474262,1141.2434493596547,1150.6887263324581,1128.2563736745785,1131.8475341796875,29568491
2024-05-02,1461.185178797564,1466.4710074185996,1453.368036621592,1455.7752685546875,14512646,1124.5668940413143,1136.8653071432534,1114.9741318218018,1121.0740966796875,25118334
2024-05-03,1460.1925152681529,1464.1134460205978,1405.7455242326487,1423.46435546875,17226958,1122.8944193922243,1138.7347523146345,1117.1386656639672,1123.63232421875,19933604
2024-05-06,1424.9533097670264,1429.4202480421582,1407.5818831415143,1409.095703125,7394208,1123.1403237344898,1139.767682131019,1119.7458896646774,1127.813720703125,14970524
2024-05-07,1405.571689953147,1410.311631866643,1381.772860502106,1391.17822265625,14517472,1129.4369636309043,1134.1596020771042,1108.1362092373274,1113.6458740234375,15097728
2024-05-08,1387.2325360419566,1422.4220356245855,1387.2325360419566,1408.1279296875,9439002,1108.3823240237211,1113.7443845482246,1098.0516561458446,1104.8895263671875,19913090
2024-05-09,1402.6186490602306,1413.2896685063718,1379.787630710347,1383.88232421875,11009612,1102.4790338657724,1110.6451084134283,1092.0991247743116,1097.7071533203125,12229853
2024-05-10,1386.4879762578594,1399.6406275450738,1377.8766636438304,1397.0845947265625,10505096,1099.9700317150034,1110.6942716080541,1094.1160353113987,1099.035400390625,8573656
2024-05-13,1389.6149314683873,1396.6379028351905,1373.8317248456565,1392.394287109375,8456620,1094.4604418124766,1112.4161255815404,1088.8522931770124,1109.808837890625,9707983
2024-05-14,1390.6818338615062,1416.590049599915,1389.738862101979,1409.6414794921875,7188300,1107.7427007496667,1109.7104468669584,1100.5112577889583,1102.47900390625,8944262
2024-05-15,1410.063563528233,1419.468926315315,1402.6435067088078,1405.86962890625,5046534,1104.003936981434,1109.612085486358,1095.5426526828924,1106.2176513671875,10743423
2024-05-16,1408.1278405018506,1417.0120356183081,1387.75361519461,1414.8778076171875,14711774,1114.7281968433215,1118.2209943092364,1094.8540087178606,1112.8096923828125,14265565
2024-05-17,1412.5948920294334,1426.6408349602225,1402.8668442157614,1425.15185546875,10916476,1112.8096108108375,1125.5507181902365,1102.528065843281,1112.2684326171875,8641784
2024-05-21,1415.1260338425998,1431.231803864575,1415.1260338425998,1425.57373046875,11176128,1104.1022778238569,1115.5153011731006,1098.2482812745363,1102.8724365234375,10452900
2024-05-22,1425.7226630539947,1457.9838844507517,1425.7226630539947,1449.9185791015625,10281604,1106.857133236162,1107.742642963088,1080.3909253188892,1093.1812744140625,17527411
2024-05-23,1447.8340020088174,1481.2615172416956,1444.3100355832012,1475.1319580078125,14608260,1097.5596331640875,1118.6636621265907,1093.4765359706398,1116.2039794921875,13787687
2024-05-24,1472.724715385057,1477.5638984586112,1465.2549777906743,1469.37451171875,7094776,1111.7765639224867,1116.6959292495774,1106.0209305101291,1113.695068359375,6312670
2024-05-27,1469.3497180106694,1473.990419113941,1450.8119965034373,1455.4774169921875,6629010,1113.6459433951586,1129.2895491082788,1103.4628812192523,1111.579833984375,11599857
2024-05-28,1457.2144512745626,1467.6373066821805,1442.0764946111178,1445.5010986328125,7820162,1114.2361779831701,1116.8925870555686,1106.8571304468578,1108.775634765625,9311718
2024-05-29,1435.8724890871501,1447.287997987601,1427.8815843874524,1430.1895751953125,7383556,1097.067741329381,1105.4306626270395,1080.7845935856149,1084.2281494140625,19268547
2024-05-30,1424.9532474164846,1429.817270893488,1409.6663684202383,1414.3814697265625,13206858,1079.308747806472,1102.9217012680538,1079.2103845207203,1095.7393798828125,15255387
2024-05-31,1420.7841589242364,1431.653659822201,1411.800601617005,1419.8907470703125,31069832,1099.970086377496,1112.366862972861,1093.328943190512,1102.970947265625,26197718
2024-06-03,1472.1043222829317,1503.3728901534053,1448.2806515244756,1499.228515625,21527942,1151.1314549939386,1154.0830741093077,1117.974981638635,1141.292724609375,25699977
2024-06-04,1487.0437791255476,1487.0437791255476,1349.3131842665355,1387.0091552734375,36709098,1139.2265453107807,1140.702354777864,1036.5594240710273,1054.170654296875,43476837
2024-06-05,1411.5524616660985,1420.6352601794422,1373.9308915121778,1410.3116455078125,17464890,1067.5022525173526,1105.1353964425034,1034.0998107211954,1090.7708740234375,42172104
2024-06-06,1424.4569533735907,1433.0929853880773,1410.9072166555904,1421.0819091796875,17855722,1099.970087057546,1099.970087057546,1078.9151794387894,1092.49267578125,18574162
2024-06-07,1418.004611799037,1461.1850112482903,1416.0193060772324,1459.1500244140625,18558696,1092.4926581643756,1110.104009770429,1085.8022733872265,1103.6103515625,17197635
2024-06-10,1459.150058153404,1482.3781598703026,1457.2888339961758,1460.5894775390625,9251760,1098.0022563128857,1114.9248236920885,1097.1167466019742,1105.676513671875,10851455
2024-06-11,1458.20717740815,1462.847878399236,1443.9874724286744,1445.9727783203125,11774902,1101.6919214874545,1110.8419895056586,1093.0830317236544,1100.1668701171875,12250002
2024-06-12,1446.7916974833406,1465.1557773484808,1444.4838278075101,1452.5738525390625,10081742,1102.9216850641683,1115.1217348604168,1094.0668276461688,1101.4951171875,16096514
2024-06-13,1461.1851486521073,1461.433311890669,1449.3725542618724,1454.4847412109375,9181160,1104.1021886675976,1105.0860616284854,1087.1796217809997,1089.49169921875,12494254
2024-06-14,1459.199879544848,1468.8038455887872,1446.518713499826,1466.6944580078125,8157998,1096.0345294527124,1096.0345294527124,1081.719129164698,1087.8192138671875,11377979
2024-06-18,1476.4224025999808,1476.4720837189377,1460.5399547367645,1470.1439208984375,7196766,1095.9853271941342,1116.7451444635597,1083.4409459075023,1104.7418212890625,18306176
2024-06-19,1476.571240472528,1476.571240472528,1445.3026730272272,1447.9332275390625,8725874,1109.75950368303,1146.75322461017,1107.9886043418487,1125.993408203125,34309514
2024-06-20,1448.280730003189,1471.9554798675892,1439.446094050177,1462.8726806640625,16113776,1135.4386364718932,1141.2926325377728,1117.1877450402078,1138.144287109375,15475933
2024-06-21,1462.7982011333013,1463.8652545834836,1429.9909727182371,1443.515869140625,31170360,1144.7854792681483,1151.033048809149,1132.0934935247788,1139.9644775390625,69259425
2024-06-24,1434.9045699529108,1438.8503408924523,1426.9385064042085,1430.88427734375,8878386,1136.0289470067053,1156.6902793435293,1134.0612010698649,1151.229736328125,12210295
2024-06-25,1432.3982039886682,1445.2282918111714,1430.4128980926341,1443.46630859375,7045386,1151.3773811074136,1186.5508409447048,1148.8193353214021,1178.630615234375,27309845
2024-06-26,1435.425808927042,1507.8149506909176,1434.5075565031482,1502.9013671875,22014882,1182.6154524579229,1203.1291823342124,1174.59686276576,1198.357421875,25403461
2024-06-27,1502.6283145931025,1526.2038207675607,1494.9352546835423,1519.304931640625,28383030,1208.5403632954783,1215.083142699582,1189.6008082372055,1200.2266845703125,20516632
2024-06-28,1519.7764812043604,1569.3842873036351,1519.7764812043604,1553.89892578125,28957336,1207.2122974343558,1207.2122974343558,1177.0565628057336,1180.254150390625,12507092
2024-07-01,1551.0450507194453,1567.7960689891884,1544.2454023527885,1548.6875,7724306,1180.25407382428,1195.7500741919466,1172.8259044392062,1192.3065185546875,8636894
2024-07-02,1557.968834801107,1561.9394466769938,1545.5606726889605,1553.6756591796875,7749246,1197.3734411453652,1197.3734411453652,1166.4306833322826,1171.399169921875,16153925
2024-07-03,1554.8170660210362,1563.4283787351976,1531.440162014497,1541.019287109375,9049620,1177.54840489326,1196.24199235147,1160.428990253299,1182.2218017578125,22330897
2024-07-04,1545.5606622734106,1555.983518377374,1539.4062623766438,1542.6075439453125,6837176,1209.179986290108,1215.033982934888,1194.7171004020095,1213.115478515625,15275791
2024-07-05,1542.4088769403465,1586.755694667964,1536.6267221432645,1576.9532470703125,12269710,1205.2444756355717,1222.5606171427328,1201.1613784936928,1213.509033203125,9535575
2024-07-08,1577.3255888697254,1596.9801663885871,1570.898185044045,1589.13818359375,9500806,1209.0816030717467,1219.5106332770943,1197.2751265898385,1215.1324462890625,6617190
2024-07-09,1585.8623208770043,1588.7410386525216,1568.887979750272,1578.5911865234375,6960002,1215.0339475267522,1230.038011199292,1209.4751610015549,1228.1195068359375,13366874
2024-07-10,1583.2814308954767,1585.7630632323035,1551.6654591589945,1572.5855712890625,7134578,1232.5469141994527,1232.5469141994527,1216.4113728030459,1223.15087890625,18226503
2024-07-11,1575.8365135146928,1592.4634499565013,1558.9614138424095,1569.036865234375,11940946,1226.2501602309792,1237.5155787915146,1205.2937361837155,1218.4775390625,11307116
2024-07-12,1572.8586162043875,1593.3569240772113,1562.9320865975437,1584.9937744140625,12924784,1215.9687089511149,1232.6945505595163,1210.2621973028672,1213.01708984375,12208290
2024-07-15,1592.6620057625546,1594.0517441522056,1573.8512804915936,1585.4901123046875,5329688,1213.213848187686,1218.4775450466864,1204.309869041595,1210.1146240234375,15612671
2024-07-16,1581.792452589091,1588.24469666931,1557.5965372882695,1564.669189453125,9386838,1210.1638079399554,1224.9219031587354,1209.1799349253702,1219.9041748046875,12320605
2024-07-18,1564.4210812674708,1582.1895936713806,1546.3795650620239,1575.0177001953125,12298374,1214.9849267751276,1236.1873202209238,1211.8364607641408,1230.1365966796875,10999632
2024-07-19,1574.3475621142547,1578.293333314245,1541.3915329908289,1543.7242431640625,13140390,1223.9380279933182,1230.3332025768846,1220.2485041951068,1228.5130615234375,7958817
2024-07-22,1525.9557698439748,1526.203933085127,1488.2597977476694,1489.6495361328125,19674376,1220.0026771573469,1225.2172527697476,1213.0172019778342,1221.1341552734375,9958965
2024-07-23,1489.9719903646578,1494.6870915999891,1452.2511804820083,1476.96826171875,18052044,1221.1341050565184,1228.5131532036169,1192.9461171142627,1206.96630859375,19369832
2024-07-24,1474.0895996286229,1498.4095963901725,1465.552808673545,1484.7109375,11913362,1205.2444794873966,1213.7550053424823,1182.6646411572679,1203.2767333984375,20122521
