,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2024-01-29,410.4091370302086,411.62442230982873,402.8472985559007,404.91778564453125,18557346,1354.474931519067,1441.8283899094502,1350.1817560391485,1437.4111328125,23893438
2024-01-30,402.3971972082923,408.42863094204745,393.75510841111077,394.3402404785156,45190319,1449.2235971647833,1449.2484377227322,1394.1066401470152,1397.2830810546875,14093978
2024-01-31,396.09568649125384,398.3462296781842,394.92539376306877,397.49102783203125,20648695,1393.6847810610707,1423.7125336444733,1392.195801594125,1416.1435546875,15130226
2024-02-01,397.89614860138937,403.07238102310146,395.4655493074385,398.7063293457031,19903526,1424.4569627393994,1432.745590517861,1407.631543948549,1416.1683349609375,13349362
2024-02-02,400.5967720892722,402.5772455250547,395.64558849981586,396.1856994628906,17816750,1422.6453963923934,1464.0638152243819,1422.6453963923934,1446.9901123046875,19652588
2024-02-05,397.89611107625,399.3814660761637,392.9899203450033,394.3402404785156,12505666,1450.0177530325548,1459.6961190035063,1421.007495677393,1428.452392578125,8814432
2024-02-06,396.09568709314567,396.9058678058098,386.6433885753726,388.35382080078125,19487043,1431.2565145548228,1431.2565145548228,1409.3933108861847,1417.309814453125,9047984
2024-02-07,391.5945940811647,391.5945940811647,387.8136747380817,388.7138977050781,13376903,1425.3752031215413,1438.8504181404362,1418.7491963623445,1431.554443359375,9296568
2024-02-08,392.08703057366546,392.17841802252724,373.4423399489455,378.88037109375,50039587,1439.3467435794867,1448.752105824393,1417.0368932886952,1439.4708251953125,14694634
2024-02-09,374.81326995012324,387.7000589587421,373.4423423447581,379.7486267089844,33527317,1443.31729322881,1461.1602045826953,1440.2896534634558,1450.0177001953125,12556798
2024-02-12,381.62222138780527,382.0335083512696,371.1117379944829,371.8428955078125,11326971,1450.017752117624,1450.2659153474917,1431.7529141646626,1441.679443359375,6674430
2024-02-13,371.88862153996564,375.4530507956858,368.5983836063643,371.75152587890625,16207766,1444.8063713272154,1468.1337156942297,1443.3173918995335,1454.3358154296875,7715594
2024-02-14,371.0660969640242,376.7783199362087,369.60375282087,376.1385498046875,12618012,1446.7916226083244,1472.749520552248,1446.7916226083244,1470.4912109375,7117888
2024-02-15,377.46374115666544,378.8803769826403,368.4612807413084,369.1467590332031,21169031,1472.4516121931645,1473.8165098910026,1455.750276105359,1459.7952880859375,10006782
2024-02-16,370.15210830847485,374.31059937497434,365.0339476322224,369.7865295410156,38963810,1465.6271998466532,1466.1483668657747,1447.8339689108675,1449.843994140625,9767498
2024-02-19,370.1521379280326,377.23528866691095,369.7865591313197,374.03643798828125,17602580,1451.3082561823699,1468.6300012389227,1442.8458657695369,1463.17041015625,6729828
2024-02-20,375.133187013915,375.133187013915,369.5123517065761,371.157470703125,14626643,1464.1880192365334,1464.659505178025,1451.0602075132595,1460.2174072265625,7117496
2024-02-21,371.98002129088223,374.8132930919039,366.7704728961171,368.64410400390625,20162369,1463.170510366537,1477.5888193115914,1446.8414171157522,1456.916748046875,12720292
2024-02-22,371.88862598407167,379.4287715687956,368.73548367384933,378.78900146484375,19321180,1457.3633484018678,1474.0398440634356,1447.2878974462733,1470.8634033203125,18493728
2024-02-23,380.1142172699116,380.1142172699116,375.1788603578767,376.0014343261719,11576964,1478.556551746289,1486.5474563697878,1472.4517119404402,1482.6512451171875,14438584
2024-02-26,375.7272290145601,377.5094435802666,372.254187332029,373.99072265625,8289561,1482.5768223248915,1483.5446346905887,1471.607959051116,1476.3974609375,7513106
2024-02-27,374.7218905950383,377.2352627534842,373.396642202815,375.7729187011719,8083518,1472.1291493159843,1488.9297276070065,1467.1907251784094,1474.73486328125,10826044
2024-02-28,375.77291141482976,376.86967667427535,371.7972242470729,373.16815185546875,8949664,1472.1042938560004,1480.3185210789975,1439.5205099276588,1444.930419921875,8647950
2024-02-29,373.8079334221908,375.6815355101058,369.69512150470285,371.3402404785156,15468800,1454.2365988812116,1468.1088998815815,1443.8385832706604,1450.0675048828125,23628976
2024-03-01,373.71653890782403,377.6008386718984,372.4369987339359,374.264892578125,12873024,1452.7475417409498,1488.979373154373,1451.7548888255137,1481.1622314453125,12132926
2024-03-04,376.7783024509622,377.41807255279343,373.30526061731956,373.8993225097656,7103794,1479.5243736818861,1501.337897909408,1476.2982516112518,1496.3250732421875,10024420
2024-03-05,374.4019753243948,376.00141496954745,369.1924273577834,371.203125,10108373,1494.7119691573153,1496.3250301461744,1475.1319146195472,1489.1778564453125,7107668
2024-03-06,371.5230649154743,374.67620737600237,366.22212892485004,372.75689697265625,11534613,1482.4775132325713,1497.9133152152726,1467.6373999640691,1491.9573974609375,7805676
2024-03-07,372.7568522385688,379.24594026182575,368.91823189254467,377.9664001464844,23907135,1491.9325571368477,1492.056638756749,1464.7091224345347,1468.059326171875,8315726
2024-03-11,380.93677184044,382.3076994185439,372.89395230116753,374.1734924316406,18298683,1478.060156044582,1478.060156044582,1452.7475073010382,1455.82470703125,11277130
2024-03-12,371.5230466797454,371.5230466797454,364.9882499867776,369.6494445800781,36226074,1455.8248476863198,1477.0676458601295,1454.2614676999044,1464.5850830078125,9432678
2024-03-13,397.570769566704,400.312624757367,384.9124927232159,386.1006164550781,105525827,1468.9029635812572,1472.2034859914554,1417.2850129833478,1421.6527099609375,13522134
2024-03-14,385.6436791824383,388.88820903370987,382.03354157679445,383.54156494140625,31949569,1429.1224321842872,1437.882667347047,1415.0268084821887,1420.9578857421875,18571102
2024-03-15,381.3023729581571,391.67576129877517,379.5201583123318,383.03887939453125,76074975,1415.4733954219128,1422.694969713975,1402.5193474045138,1407.80517578125,19223818
2024-03-18,382.94748912903253,384.5012206480152,381.028178834862,381.5308532714844,16547358,1409.5671563330236,1431.1325169373013,1406.1177116464064,1428.8990478515625,9169392
2024-03-19,382.03349719564545,383.45013294004895,373.53371169513395,374.3105773925781,21803126,1418.252849649116,1427.0378036957165,1406.8373411480031,1414.778564453125,8275764
2024-03-20,374.72190907693994,380.79971076564425,374.3106220763875,379.93145751953125,20364534,1417.458614341769,1434.3833942099568,1413.5625245390722,1433.142578125,8488806
2024-03-21,382.94746988018204,385.6893250392281,380.3883896165868,385.0038757324219,19968509,1441.8532357214951,1447.1887452733042,1434.060934378195,1440.3145751953125,13006936
2024-03-22,385.00389452753257,392.68110672719376,385.00389452753257,391.7214660644531,40358503,1439.321893152815,1449.2732629085037,1436.716179238339,1444.3348388671875,19527608
2024-03-26,388.93390016963383,392.26984629600133,388.93390016963383,390.85321044921875,10669833,1434.3835274360674,1441.7291835759677,1428.4276096750873,1430.983642578125,11415906
2024-03-27,390.25910380854657,391.9956391146203,389.756429396083,391.1730651855469,12698464,1437.3614966588377,1488.9794509587407,1436.368843691532,1481.8819580078125,16326644
2024-03-28,391.1730509344977,395.9713117815528,390.2590895907945,391.4929504394531,29009002,1481.90676076149,1494.8856495085238,1467.786296896486,1474.933349609375,21854364
2024-04-01,392.17842745488764,394.23483338215703,389.11667266822633,389.9849548339844,9743648,1481.509712382751,1482.9986918329437,1471.6080232736622,1473.8663330078125,5013880
2024-04-02,391.8128590335726,391.8128590335726,388.06565481612205,389.2080993652344,9194659,1473.0968689675985,1483.0233977342266,1464.1629930776332,1476.025146484375,8910166
2024-04-03,389.34520020712586,391.90428066572207,384.7754219498934,388.614013671875,13152268,1471.186101560143,1473.5436523631188,1458.1079713887636,1460.7880859375,7008292
2024-04-04,388.9338972480882,390.5790161945303,383.7700572984611,386.37481689453125,19065447,1468.878217464342,1468.878217464342,1439.3467919062653,1452.1768798828125,14490272
2024-04-05,386.1463241399223,394.55472252991405,383.81572695487466,390.7618103027344,16768902,1450.1417667351745,1459.9938949751336,1445.3025839763254,1449.3724365234375,7442298
2024-04-08,391.4472482618613,394.28051978119635,390.94457385997055,392.17840576171875,8844633,1452.226356281804,1480.0206375610207,1450.2658910334067,1475.057373046875,8357118
2024-04-09,393.412271990678,394.3719126015798,388.9338815526786,389.6650390625,6967273,1478.060211901015,1478.8543827139295,1451.7549092714805,1452.896484375,7071414
2024-04-10,391.44727259062495,400.12986258026945,389.1166753283321,399.3529968261719,14547618,1455.5766564963697,1476.0749645358123,1455.5766564963697,1468.7044677734375,9138330
2024-04-12,397.5707980604603,398.25627639020945,391.4472882010774,393.0924072265625,18785009,1465.031599863232,1475.5536963762681,1452.3255942645226,1456.3707275390625,15551012
2024-04-15,391.1730638575208,392.22412088579836,386.5118985063276,389.2537536621094,9083087,1450.2658952456557,1471.2356878788278,1435.6986653849476,1454.062744140625,12902062
2024-04-16,386.831769055941,390.2591024836234,386.7860898150879,389.2537536621094,10357752,1442.6721581376476,1460.3662698899807,1440.265047408789,1454.9810791015625,9366184
2024-04-18,389.34519094310184,390.16773594755756,381.71365795919775,382.8103942871094,22133191,1452.7475160786112,1475.0822062813913,1448.6279823176308,1453.56640625,19005692
2024-04-19,382.03354071225175,389.5736864841606,380.205646774092,388.2027587890625,17221280,1446.0720814485837,1463.1705049395248,1432.4231028577299,1459.323974609375,15741778
2024-04-22,390.2591469862357,390.80752966629024,386.9232295916741,388.7054443359375,7386048,1461.6317610616636,1471.9305352298081,1457.0160218672338,1468.9774169921875,10350362
2024-04-23,388.7054072770841,393.4579601647396,388.522603412523,392.26983642578125,12484384,1468.1337674689391,1482.5272357774581,1444.8561033979943,1448.603271484375,14605554
2024-04-24,392.31553707695537,393.73217296540156,391.4472838462077,391.99566650390625,6070285,1452.7475596039474,1457.7605053579202,1438.8504186169605,1439.5205078125,10462776
2024-04-25,393.91498347737365,400.58684707283845,392.0870605648532,399.9013977050781,30337038,1431.9018276580116,1457.189636393573,1430.9091747445573,1449.2484130859375,15943926
2024-04-26,401.4550856562055,405.1566105910282,398.850326015204,402.14056396484375,15342965,1453.1943211694756,1454.2366552962403,1439.346860190818,1441.878173828125,9413848
2024-04-29,403.96849476986824,404.3797527972421,397.20521486639313,400.4954528808594,12075706,1439.3467183436048,1457.1152296530197,1439.3467183436048,1454.2613525390625,7247974
2024-04-30,402.09483326873476,402.5975076783204,397.66215102986746,398.1648254394531,12528665,1457.2144546560796,1472.178648628076,1452.1271085524606,1456.2218017578125,11474262
2024-05-02,398.48473777993564,404.51683088911363,397.4336807202778,401.2265930175781,24123523,1461.185178797564,1466.4710074185996,1453.368036621592,1455.7752685546875,14512646
2024-05-03,402.1862629337069,402.1862629337069,394.23483059983744,398.89599609375,23786388,1460.1925152681529,1464.1134460205978,1405.7455242326487,1423.46435546875,17226958
2024-05-06,400.31265418776957,402.551864091815,396.06277543320584,397.3423156738281,10753860,1424.9533097670264,1429.4202480421582,1407.5818831415143,1409.095703125,7394208
2024-05-07,399.30727653728593,407.62428750266935,397.7535450760951,402.4604187011719,26969062,1405.571689953147,1410.311631866643,1381.772860502106,1391.17822265625,14517472
2024-05-08,403.28298749687275,406.43612962055266,400.49542413012136,403.05450439453125,10916481,1387.2325360419566,1422.4220356245855,1387.2325360419566,1408.1279296875,9439002
2024-05-09,402.18626860635175,403.5114880367474,386.92320277397204,388.5226135253906,24314298,1402.6186490602306,1413.2896685063718,1379.787630710347,1383.88232421875,11009612
2024-05-10,389.80213909836215,398.80459931623363,389.80213909836215,396.062744140625,14524604,1386.4879762578594,1399.6406275450738,1377.8766636438304,1397.0845947265625,10505096
2024-05-13,395.9713447246366,397.98207143443125,392.5440111250424,394.69183349609375,7584217,1389.6149314683873,1396.6379028351905,1373.8317248456565,1392.394287109375,8456620
2024-05-14,393.4579641744985,396.0170445089671,391.67574958198725,392.726806640625,11423749,1390.6818338615062,1416.590049599915,1389.738862101979,1409.6414794921875,7188300
2024-05-15,393.68644240363693,395.97133139310563,390.0306258136693,390.99029541015625,7856433,1410.063563528233,1419.468926315315,1402.6435067088078,1405.86962890625,5046534
2024-05-16,393.0010134485123,395.37729001022427,386.5119249062993,394.32623291015625,23911954,1408.1278405018506,1417.0120356183081,1387.75361519461,1414.8778076171875,14711774
2024-05-17,395.19451234969523,399.8556779867922,391.9956618278003,398.7589416503906,11894830,1412.5948920294334,1426.6408349602225,1402.8668442157614,1425.15185546875,10916476
2024-05-21,398.48476583327965,399.4901147555859,395.9256853161679,397.38800048828125,11175153,1415.1260338425998,1431.231803864575,1415.1260338425998,1425.57373046875,11176128
2024-05-22,399.71856660848556,403.9227658482658,397.93635202820826,402.0491638183594,11036895,1425.7226630539947,1457.9838844507517,1425.7226630539947,1449.9185791015625,10281604
2024-05-23,403.4201283779724,406.61897906710067,398.9874456251496,403.3744201660156,27244733,1447.8340020088174,1481.2615172416956,1444.3100355832012,1475.1319580078125,14608260
2024-05-24,403.05451410700533,404.3797335120663,397.84496600489564,398.6675109863281,13252938,1472.724715385057,1477.5638984586112,1465.2549777906743,1469.37451171875,7094776
2024-05-27,401.04380974465363,401.1351971930909,393.64076020528995,394.3719177246094,12282545,1469.3497180106694,1473.990419113941,1450.8119965034373,1455.4774169921875,6629010
2024-05-28,394.9203077808962,395.2858865474374,391.4015578418531,392.0870361328125,9668761,1457.2144512745626,1467.6373066821805,1442.0764946111178,1445.5010986328125,7820162
2024-05-29,388.8881674070639,395.19448048921834,388.8881674070639,393.8692321777344,10832067,1435.8724890871501,1447.287997987601,1427.8815843874524,1430.1895751953125,7383556
2024-05-30,391.63006488826727,393.86924566680193,386.009229872296,387.3801574707031,21314885,1424.9532474164846,1429.817270893488,1409.6663684202383,1414.3814697265625,13206858
2024-05-31,390.03063052557883,392.5897108592454,387.7457415085067,389.7564392089844,29300711,1420.7841589242364,1431.653659822201,1411.800601617005,1419.8907470703125,31069832
2024-06-03,396.6568386124209,397.4794126122737,391.7671897218955,393.3208923339844,16116836,1472.1043222829317,1503.3728901534053,1448.2806515244756,1499.228515625,21527942
2024-06-04,396.52177031965385,396.80101565647095,374.97368265988365,386.4690856933594,47791986,1487.0437791255476,1487.0437791255476,1349.3131842665355,1387.0091552734375,36709098
2024-06-05,392.7985512208221,405.82980402897,389.12189949981456,400.52423095703125,28197030,1411.5524616660985,1420.6352601794422,1373.9308915121778,1410.3116455078125,17464890
2024-06-06,405.829791944629,407.41213302436523,401.2688535975877,405.27130126953125,32318523,1424.4569533735907,1433.0929853880773,1410.9072166555904,1421.0819091796875,17855722
2024-06-07,401.5481002254475,411.0888154566866,401.26885488700134,408.7618103027344,29543660,1418.004611799037,1461.1850112482903,1416.0193060772324,1459.1500244140625,18558696
2024-06-10,409.5530068967988,410.48381488403055,405.6901817746213,406.6675109863281,11872688,1459.150058153404,1482.3781598703026,1457.2888339961758,1460.5894775390625,9251760
2024-06-11,406.7606160148987,407.50525061130764,402.33930016150435,403.0373840332031,13158571,1458.20717740815,1462.847878399236,1443.9874724286744,1445.9727783203125,11774902
2024-06-12,400.7569418231023,404.34052174068876,400.43114573978,402.3858337402344,10751658,1446.7916974833406,1465.1557773484808,1444.4838278075101,1452.5738525390625,10081742
2024-06-13,406.66751056673644,406.66751056673644,400.0122909895558,400.52423095703125,9641349,1461.1851486521073,1461.433311890669,1449.3725542618724,1454.4847412109375,9181160
2024-06-14,401.17580700990004,402.01351357567347,399.36074170092695,401.3154296875,9572809,1459.199879544848,1468.8038455887872,1446.518713499826,1466.6944580078125,8157998
2024-06-18,403.03737898986196,404.1543603703237,398.5695419674905,399.08148193359375,14641141,1476.4224025999808,1476.4720837189377,1460.5399547367645,1470.1439208984375,7196766
2024-06-19,400.24496579903524,400.94304962931466,393.77589043943306,394.3343811035156,11329972,1476.571240472528,1476.571240472528,1445.3026730272272,1447.9332275390625,8725874
2024-06-20,394.70671932417883,396.98717382381864,392.33316337570244,394.00860595703125,15147549,1448.280730003189,1471.9554798675892,1439.446094050177,1462.8726806640625,16113776
2024-06-21,395.59096381210924,395.87020914994883,389.58727754803,390.56463623046875,26176371,1462.7982011333013,1463.8652545834836,1429.9909727182371,1443.515869140625,31170360
2024-06-24,390.9369661412327,394.61361787534224,390.9369661412327,394.00860595703125,9723008,1434.9045699529108,1438.8503408924523,1426.9385064042085,1430.88427734375,8878386
2024-06-25,393.72936061017225,394.66016859976054,390.7042715187919,394.00860595703125,10655609,1432.3982039886682,1445.2282918111714,1430.4128980926341,1443.46630859375,7045386
2024-06-26,393.72935968027775,396.89410093743857,392.8451024171962,394.6136169433594,11511714,1435.425808927042,1507.8149506909176,1434.5075565031482,1502.9013671875,22014882
2024-06-27,394.6135952603717,397.6852643999609,391.96082361688974,396.1494445800781,38438054,1502.6283145931025,1526.2038207675607,1494.9352546835423,1519.304931640625,28383030
2024-06-28,396.05635546638285,398.38336062952527,394.19476903576367,395.4978942871094,18554411,1519.7764812043604,1569.3842873036351,1519.7764812043604,1553.89892578125,28957336
2024-07-01,396.8010483258212,400.47770023042045,395.2651988468778,399.3607482910156,13391362,1551.0450507194453,1567.7960689891884,1544.2454023527885,1548.6875,7724306
2024-07-02,400.2449871714336,400.84999908994706,393.3104927215312,396.0563659667969,11177863,1557.968834801107,1561.9394466769938,1545.5606726889605,1553.6756591796875,7749246
2024-07-03,396.6148682361784,399.919202771963,396.05637752597346,398.6626281738281,7435499,1554.8170660210362,1563.4283787351976,1531.440162014497,1541.019287109375,9049620
2024-07-04,400.24500559718945,401.64120289640215,397.4991322255142,399.3607482910156,9478861,1545.5606622734106,1555.983518377374,1539.4062623766438,1542.6075439453125,6837176
2024-07-05,399.31418163243075,403.96819211066986,398.0110563385377,403.6424255371094,13427543,1542.4088769403465,1586.755694667964,1536.6267221432645,1576.9532470703125,12269710
2024-07-08,405.0386270748445,413.78815742675266,403.64242981653535,412.9039001464844,21311436,1577.3255888697254,1596.9801663885871,1570.898185044045,1589.13818359375,9500806
2024-07-09,416.6271172393411,423.5150613210053,413.2762319022778,421.2811279296875,27489709,1585.8623208770043,1588.7410386525216,1568.887979750272,1578.5911865234375,6960002
2024-07-10,422.30497440394987,423.84082376971406,415.6032042617314,420.210693359375,12065662,1583.2814308954767,1585.7630632323035,1551.6654591589945,1572.5855712890625,7134578
2024-07-11,418.86102924280897,427.70366090287615,417.6509759051689,426.9124755859375,19556596,1575.8365135146928,1592.4634499565013,1558.9614138424095,1569.036865234375,11940946
2024-07-12,426.912503236289,431.19419667007304,424.3062524940008,427.2848205566406,19693114,1572.8586162043875,1593.3569240772113,1562.9320865975437,1584.9937744140625,12924784
2024-07-15,427.2847724121332,434.1727158121033,425.5627791871847,431.3337707519531,16876907,1592.6620057625546,1594.0517441522056,1573.8512804915936,1585.4901123046875,5329688
2024-07-16,431.3803035660824,434.4519728201184,429.47216640057155,433.3349914550781,13497253,1581.792452589091,1588.24469666931,1557.5965372882695,1564.669189453125,9386838
2024-07-18,430.9614860880629,438.31481926756675,430.63569000741666,437.70977783203125,21907158,1564.4210812674708,1582.1895936713806,1546.3795650620239,1575.0177001953125,12298374
2024-07-19,438.40785446446665,446.2266057465609,436.9185558631909,441.7121887207031,25939326,1574.3475621142547,1578.293333314245,1541.3915329908289,1543.7242431640625,13140390
2024-07-22,441.75876374646487,446.27315152086356,433.614245462781,434.26580810546875,18762384,1525.9557698439748,1526.203933085127,1488.2597977476694,1489.6495361328125,19674376
2024-07-23,434.26580514596367,462.9810529532946,434.12618247349457,458.140869140625,56125835,1489.9719903646578,1494.6870915999891,1452.2511804820083,1476.96826171875,18052044
2024-07-24,461.67791921290376,475.3141836420076,456.69814231888404,459.86285400390625,43693692,1474.0895996286229,1498.4095963901725,1465.552808673545,1484.7109375,11913362
2024-07-25,456.09309104663214,461.6779092226846,451.11331426036946,456.04656982421875,18567567,1470.1189136102262,1489.4508041915794,1466.2227025912728,1481.4351806640625,12519876
2024-07-26,459.86288665413383,471.35829062734945,453.6730560146967,467.4489440917969,21534703,1481.4352554076795,1501.3131545447015,1479.4002684339398,1497.9381103515625,9859940
2024-07-29,470.5205683407357,471.1721309915476,459.8628713024175,461.7244873046875,12978187,1500.8416167163412,1516.2774189432153,1500.6679751498336,1508.9317626953125,7538550
2024-07-30,461.9571661211897,463.3533633251995,454.8365279309325,456.0000305175781,13891052,1505.8792447159437,1513.795627121447,1498.9058340677934,1502.03271484375,8228208
2024-07-31,458.373614385957,463.49301427967293,456.55854906003475,461.07293701171875,11982586,1492.9499231376883,1499.3524857083617,1490.1208866802617,1494.364501953125,10057346
2024-08-01,461.6313905239546,462.3760546322901,456.97737997103144,459.537109375,12114803,1500.8913109431162,1506.8472288436842,1493.2479314401046,1504.1671142578125,10764222
2024-08-02,451.25298409269624,464.88922015217565,451.25298409269624,455.25543212890625,22141163,1493.9425575637474,1498.2357327232485,1482.3037269895096,1488.3092041015625,10268248
2024-08-05,446.83163592942134,457.86164997554926,446.36621719129073,452.3699035644531,25022076,1469.1262655731218,1472.9976360481728,1422.7197433328897,1436.6912841796875,17046704
2024-08-06,452.6026191959533,457.6754978281909,450.55485925262013,452.649169921875,14251363,1444.4590050773538,1466.6447748995176,1440.6620347326755,1445.3524169921875,10236186
2024-08-07,456.0930950965633,461.3055960404738,454.32458063337543,458.5597229003906,11320399,1458.2071184913539,1461.6814036613468,1450.7622216985117,1454.062744140625,8174568
2024-08-08,459.8163204658485,463.5395227307948,458.42009380414777,460.514404296875,21349889,1446.816580877676,1454.2366377811502,1435.3018303695276,1438.478271484375,12387192
2024-08-09,463.5395573573386,463.5395573573386,458.9786187546684,461.5848693847656,9556181,1449.2732763644294,1465.6520496932055,1445.3026646483625,1463.46826171875,6249776
2024-08-12,457.95473966191645,465.4011447621894,457.95473966191645,460.37481689453125,9425644,1459.199797918004,1462.1777566892652,1447.0397996020206,1449.8936767578125,8184584
2024-08-13,461.6313768042684,463.39992082169977,454.4642172856773,456.0931091308594,8056478,1450.0178268110735,1459.2742672925806,1447.28803114191,1452.8717041015625,6265064
2024-08-14,457.9081745197849,464.47035162635643,456.0000373291409,458.140869140625,9609981,1452.7973239887267,1461.1851932386814,1443.0195951522678,1451.1097412109375,6267466
2024-08-16,460.2817396441816,469.31051531176115,458.55974631588987,467.8677673339844,13643352,1457.8598362701878,1469.5235088888628,1447.3377388233519,1467.339599609375,9416902
2024-08-19,469.82246388684206,474.057606447632,465.0288306148003,466.7508239746094,10591508,1476.6025720306277,1492.3397678065596,1474.6105280885965,1482.4791259765625,13797742
2024-08-20,466.3319395570424,468.56587282373647,463.2602997527288,464.2841796875,6888634,1491.268975771349,1497.9423959482733,1484.0976661921165,1489.9990234375,8411808
2024-08-21,465.40113299398797,473.77837539474945,464.5168757294204,470.427490234375,8801221,1487.30978907883,1501.8766102174725,1484.072717714687,1492.7132568359375,7769996
2024-08-22,472.7079312298726,473.3129431304896,466.7507956705184,469.63629150390625,8686423,1497.0210123494212,1500.5070892244864,1484.720165407205,1492.1654052734375,10445782
2024-08-23,470.10172179736895,471.8702364304628,465.35463912442765,470.7998352050781,8195369,1497.768063961028,1505.3128818837536,1492.4642955105633,1494.008056640625,9249654
2024-08-26,470.9859714327483,472.8475874897276,467.26276881861634,470.70672607421875,8126402,1500.9802618699923,1516.941539085057,1497.021098650585,1506.5828857421875,8816114
2024-08-27,472.42870096422115,472.47525168876325,465.40113454893714,465.9596252441406,8260450,1504.4912711730515,1507.4544123852302,1493.485179145279,1494.481201171875,6251156
2024-08-28,465.77346700783545,467.54201110027503,462.1433658703206,462.88800048828125,8081932,1499.0131426615155,1501.4782728482842,1487.0608784010915,1492.33984375,9610286
2024-08-29,463.5395558890962,472.56833161488777,462.9345144591377,470.14825439453125,19389694,1497.1205913811584,1530.885760314005,1488.0568158159556,1514.874755859375,38335358
2024-08-30,467.21619895900704,473.91799878978713,465.58730710072587,467.169677734375,15523349,1527.89778785993,1533.599989641746,1497.3447635789732,1503.6197509765625,41620730
2024-09-02,469.12436710280446,477.40850809281204,468.47280445752887,474.7557067871094,16497266,1504.8647654458696,1520.7264647058682,1500.6316718721823,1510.2183837890625,11240852
2024-09-03,474.7556771661306,480.2474233336446,472.75446813038855,474.1506652832031,12481552,1515.1984708784905,1516.941509382377,1501.5031683479538,1503.1217041015625,10923800
2024-09-04,465.40115282136196,474.75572483416937,465.3546315948188,471.311767578125,8739052,1494.7301447200666,1511.4633627071519,1493.534966971581,1508.525146484375,11983304
2024-09-05,473.1733400299588,476.47770400804217,471.9633161786824,475.8261413574219,11318636,1513.0072347057646,1519.7054581926027,1481.1345314015284,1487.035888671875,16264168
2024-09-06,476.57078709097436,476.57078709097436,462.74837792975984,466.9835205078125,14245025,1486.5627588054047,1491.0448575756723,1455.8105811316245,1458.997802734375,19394228
2024-09-09,467.26274749161126,477.17578026799583,465.72692758962387,476.33807373046875,14265060,1460.666261949736,1464.07768593117,1449.809597840599,1456.63232421875,9010298
2024-09-10,476.477687995446,479.3631543513727,473.54564141627685,478.06005859375,11332248,1454.6901127162012,1466.1942153054945,1451.7766997689328,1455.7110595703125,10768260
2024-09-11,477.50157364424496,483.5517812694099,476.5242149395142,478.7581481933594,15497555,1457.2300550346945,1462.9073318760024,1441.7917138302157,1445.7259521484375,9760202
2024-09-12,479.4562685547481,484.4825963244237,473.3595101165837,483.5517883300781,19085324,1451.2039809867947,1480.088617533546,1440.1232367942907,1473.913330078125,22349376
2024-09-13,483.55177740140044,484.0171666381423,476.57076185132354,478.2927551269531,9165077,1470.5268529366479,1477.2500011980833,1463.6542770635715,1466.766845703125,8711328
