,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2024-02-06,703.5285448598157,705.5482430083341,697.2259293320517,702.8228149414062,41075740,387.96484228867234,388.7583920360094,378.70657560411007,380.38189697265625,19487043
2024-02-07,707.1543478186637,707.5437201567751,694.330191039234,695.9362182617188,54837086,383.55612087505483,383.55612087505483,379.85281450031516,380.73455810546875,13376903
2024-02-08,695.8876252029665,700.3164537570308,681.6034099643059,682.844482421875,69106124,384.03849666697397,384.12800816758073,365.7765333782061,371.1029357910156,50039587
2024-02-09,677.5395933880455,688.2709787615526,675.0331498393979,683.1121215820312,56642124,367.11932249698526,379.74157904258544,365.77653649119355,371.953369140625,33527317
2024-02-12,681.1897546934406,688.0033555217624,673.2567528222265,676.4932250976562,34447812,373.7885122385735,374.1913565530827,363.4937816638938,364.2099304199219,11326971
2024-02-13,677.4421602188512,683.4770749934498,673.7433606505093,678.6588745117188,57580994,364.25467327388895,367.74593366409346,361.03197574005617,364.1203918457031,16207766
2024-02-14,669.6795681971766,677.2231970540489,663.6203545889955,673.597412109375,91320810,363.4490304322448,369.04399563612463,362.01670458696765,368.4173583984375,12618012
2024-02-15,674.0597534612269,688.903668609651,673.7433958465795,688.197998046875,41584944,369.7154093192213,371.10296536010526,360.8977455956946,361.56915283203125,21169031
2024-02-16,692.9918479710976,694.8412181662663,685.4725175238648,691.0451049804688,32175742,362.55384464630635,366.6269726665046,357.54074654679084,362.1957702636719,38963810
2024-02-19,695.4739454261017,695.4739454261017,688.7576582283627,689.682373046875,34451756,362.5538334149661,369.4915846526361,362.1957590434242,366.3583984375,17602580
2024-02-20,688.6603356526384,709.222808572302,687.102965017942,707.787109375,56133508,367.43267942532117,367.43267942532117,361.9272252317753,363.53857421875,14626643
2024-02-21,712.507885437546,712.507885437546,698.3939997287421,700.4137573242188,45893136,364.34419085928846,367.1193025930997,359.24158161687234,361.0767517089844,20162369
2024-02-22,689.9987587340186,695.3766603212918,687.2976289140083,690.8748168945312,50560882,364.2546993925409,371.64006498707033,361.166283065441,371.013427734375,19321180
2024-02-23,692.3348761341468,697.8587478235042,690.1204320838871,691.3858032226562,29833452,372.3114390234385,372.3114390234385,367.477392438148,368.2830810546875,11576964
2024-02-26,687.9546346452112,698.3210050066913,687.9546346452112,692.213134765625,23506870,368.0145200385987,369.7601503452562,364.6127709260232,366.31365966796875,8289561
2024-02-27,687.9546948776648,694.3545652339111,687.7113519923358,691.1668090820312,32087150,367.0298119400418,369.49159101888046,365.73176749593637,368.05926513671875,8083518
2024-02-28,691.1667470533215,693.1377886016653,683.3067606806109,685.9348754882812,25321986,368.05925560223767,369.1335070788597,364.1651791134282,365.5079650878906,8949664
2024-02-29,682.3820552900959,686.4215706434694,680.0459994144303,683.0147705078125,53295700,366.1345972319124,367.9697389838581,362.10621099325186,363.7175598144531,15468800
2024-03-01,681.360036052442,697.2989940386686,681.360036052442,696.3256225585938,34738898,366.04508647727596,369.8496514216038,364.7918120169836,366.5821838378906,12873024
2024-03-04,696.422958130924,699.3674307159147,693.186545384466,697.274658203125,35616474,369.0439721519782,369.67060934978923,365.6422233108164,366.2240905761719,7103794
2024-03-05,692.067075174591,702.2874750189414,691.8967470591605,701.2410888671875,37991672,366.7164994308714,368.2831068378252,361.61388961617246,363.58331298828125,10108373
2024-03-06,697.6883641851937,707.0813632922424,697.6883641851937,702.0928344726562,42409530,363.89662847613386,366.98504483260456,358.7045074023188,365.1051330566406,11534613
2024-03-07,703.5042650748312,706.205394802925,701.5088653436588,703.7962646484375,49348046,365.10512371335005,371.46100763953405,361.34530025763866,370.2077331542969,23907135
2024-03-11,695.9605773947812,703.7231908402335,692.553777365576,694.889892578125,50531094,373.11715357829127,374.4599396612226,365.2394317224076,366.4927062988281,18298683
2024-03-12,697.9073192338245,712.5078907659129,695.5955620745772,710.3421630859375,65418454,363.89660411866976,363.89660411866976,357.4959505214604,362.06146240234375,36226074
2024-03-13,713.2379447418698,716.2067158438075,705.7429725398497,710.755859375,63067454,389.4096888737355,392.0952609994141,377.0112531117893,378.17498779296875,105525827
2024-03-14,711.5831514808099,713.4812375965001,702.9201816497791,708.3466796875,52432158,377.72742035000414,380.9053484663616,374.19138945283163,375.66845703125,31949569
2024-03-15,705.6943406988961,710.2205419583659,701.9225261192986,706.9840698242188,143613804,373.47519557546644,383.6356443794862,371.7295653076996,375.1760559082031,76074975
2024-03-18,704.2342392927528,708.6144107880084,698.7833829737194,703.7719116210938,21437856,375.08656109013026,376.60839849305466,373.2066493049854,373.6990051269531,16547358
2024-03-19,698.6374048635253,706.8624060469253,698.6374048635253,705.3779907226562,36183594,374.1913725840706,375.57892859039265,365.86606491745584,366.6269836425781,21803126
2024-03-20,705.2320233558721,706.4973944482159,693.3568789456579,696.4716796875,43606094,367.02980631746095,372.9828459519357,366.62696200946334,372.1324157714844,20364534
2024-03-21,702.0927826471133,706.3026258563286,700.000069771983,703.6258544921875,28922860,375.0865757394108,377.7721478966098,372.5800265946558,377.10076904296875,19968509
2024-03-22,701.3141208411934,706.0593065998343,699.7323922549797,702.2144775390625,45980326,377.1007130617377,384.6203310083854,377.1007130617377,383.6803894042969,40358503
2024-03-26,694.5978614753975,699.8297331586394,692.1401341445468,693.7218627929688,56844290,380.9500748588195,384.2175424825222,380.9500748588195,382.8299865722656,10669833
2024-03-27,692.8214782766382,704.6965622791422,691.7020773602309,701.1680908203125,62168668,382.24811039415033,383.9489991957222,381.75575456584926,383.143310546875,12698464
2024-03-28,701.1681292352769,710.8045307526719,701.1681292352769,704.6723022460938,55592142,383.1433017081666,387.84306693740666,382.24810157609323,383.4566345214844,29009002
2024-04-01,709.5878149173326,717.2774734382766,708.4197572494843,715.67138671875,25199570,384.12803010538937,386.1422233976248,381.12912513629533,381.9795837402344,9743648
2024-04-02,713.0676337207477,727.5221766350272,712.1429189199621,720.367919921875,41225446,383.76991837937226,383.76991837937226,380.0996349174438,381.2186279296875,9194659
2024-04-03,716.450076374618,727.9115494819865,716.109420115624,721.414306640625,45584386,381.3529263895928,383.8594753883552,376.87695414075034,380.6367492675781,13152268
2024-04-04,731.9753490842609,744.62917825726,731.9753490842609,743.4611206054688,88935066,380.9500915414978,382.561440456257,375.89225185348187,378.44354248046875,19065447
2024-04-05,749.0093625181328,756.5529915753328,744.7022055513205,754.1439208984375,59055902,378.21973637562843,386.4555320406198,375.9369803377719,382.740478515625,16768902
2024-04-08,756.7720051664586,757.8914061879058,750.2504634550537,752.7081909179688,20482940,383.4118420076944,386.1869537423144,382.9194862197439,384.12799072265625,8844633
2024-04-09,756.7233110790663,756.7233110790663,749.6420692068525,753.6572265625,21884494,385.3365720410326,386.2765138011743,380.9501109606296,381.666259765625,6967273
2024-04-10,754.3142814277871,754.3142814277871,746.0649220391629,747.7196655273438,27807400,383.41183405015806,391.91619207059733,381.12907815086623,391.1552734375,14547618
2024-04-12,740.2490112702176,744.5561681914903,736.5745101656407,739.2512817382812,41084208,389.4096539174515,390.08106107425925,383.411844554351,385.023193359375,18785009
2024-04-15,728.8361984614614,734.8954117012732,726.1594270943376,727.4490966796875,23415248,383.14327835057276,384.17275985826257,378.5777948380354,381.26336669921875,9083087
2024-04-16,723.7016987771374,736.3068713842836,721.3899415012858,734.5304565429688,20744886,378.89109926093727,382.2480782730736,378.84635769841657,381.26336669921875,10357752
2024-04-18,734.7980983246009,739.2025682918519,725.6727413912242,727.4490966796875,34234884,381.35292440864043,382.1585846561629,373.87804738734405,374.9522705078125,22133191
2024-04-19,723.4827148610226,747.0382572891224,720.4165709168466,745.2619018554688,34576434,374.19133793331616,381.5767031798926,372.40096613233504,380.2339172363281,17221280
2024-04-22,757.9643557818745,757.9643557818745,734.0680986992392,735.9661254882812,42298438,382.24809683901475,382.7852225858655,378.9806575358475,380.7262878417969,7386048
2024-04-23,742.8284760660457,742.9257894510552,731.6103458842442,733.7274169921875,26827060,380.7262990993228,385.3812944719523,380.5472477213064,384.2175598144531,12484384
2024-04-24,737.3288649584306,740.613993564681,734.4331086916868,735.7227783203125,22441580,384.26227903854186,385.64983493071486,383.41184887787193,383.948974609375,6070285
2024-04-25,733.0704121681982,739.616311752735,733.0704121681982,735.260498046875,35445204,385.82888534668166,392.3637921214862,384.03848516029745,391.6924133300781,30337038
2024-04-26,739.6650141563123,743.6558134751455,732.729742335618,734.7981567382812,24854694,393.2142129703609,396.83975482059645,390.6629225550479,393.8856201171875,15342965
2024-04-29,737.3289207914913,746.7949349875348,733.216449914726,744.3858642578125,36093350,395.67604109637887,396.07885703437194,389.05159426034965,392.2742919921875,12075706
2024-04-30,744.2398024289921,749.2526892649995,737.2802320622603,739.8109741210938,52307382,393.84088171444273,394.3332375377621,389.49919080754,389.9915466308594,12528665
2024-05-02,740.7357142083232,748.0360004850149,739.9326708359107,745.7242431640625,33475006,390.3048759623476,396.2131457894124,389.27539438775926,392.9904479980469,24123523
2024-05-03,746.2108990812835,749.7880273318675,733.5327119903678,739.567626953125,31865242,393.93039811859694,393.93039811859694,386.14218854115893,390.7076721191406,23786388
2024-05-06,740.7357053714223,746.819277196089,738.3752913854279,741.0520629882812,28793396,392.0952475427761,394.2884921290817,387.93260805370363,389.1858825683594,10753860
2024-05-07,740.7113274497933,741.7334150168236,732.0483570497901,733.021728515625,28480602,391.11052780582645,399.25681198237896,389.5886904450738,394.1989440917969,26969062
2024-05-08,728.0574791574124,728.5441648774708,720.465193806477,721.5845947265625,41687862,395.00464621540885,398.09306260698986,392.27430420837044,394.7808532714844,10916481
2024-05-09,717.83709973452,723.5800151607533,703.4069152466064,704.4776000976562,46281278,393.9303849229235,395.2284008948065,378.98063186624165,380.5472106933594,24314298
2024-05-10,709.9042861034679,716.2929072582592,703.8856637079383,709.3616333007812,27276608,381.800495873466,390.6181585553969,381.800495873466,387.9325866699219,14524604
2024-05-13,706.4509373389452,720.1655815796556,705.6122976051453,717.9208984375,27047202,387.8430593472191,389.8125109477641,384.48608019612794,386.5898132324219,7584217
2024-05-14,716.4408878596623,722.9775322143812,715.4789152317669,720.7328491210938,25665142,385.38127935657843,387.88782832259807,383.6356490674802,384.6651306152344,11423749
2024-05-15,720.1161379403006,720.1161379403006,708.3255604595557,709.6575317382812,38931996,385.6050659023784,387.84305196048183,382.02429388367585,382.9642639160156,7856433
2024-05-16,713.3822271543565,721.5221990437014,708.1775543730138,720.3875122070312,34945236,384.93367347333725,387.2611709473564,378.57778988889186,386.231689453125,23911954
2024-05-17,713.4562165510583,724.210870736283,713.4562165510583,722.286865234375,20920190,387.08216474486596,391.64764839572535,383.9489785643487,390.57342529296875,11894830
2024-05-21,715.380219686854,725.0495080646152,715.380219686854,719.6722412109375,43769978,390.30487284063116,391.28958447059944,387.7983238293244,389.2306213378906,11175153
2024-05-22,719.2035821431577,723.0269026870767,714.4182889056816,719.8695678710938,39996278,391.51341679406215,395.6313151024026,389.7677862978235,393.7961730957031,11036895
2024-05-23,719.5982164877166,737.8514873644924,718.808897899437,736.3468017578125,40861920,395.13891666458176,398.2721029063194,390.79722586221516,395.0941467285156,27244733
2024-05-24,733.8308016870678,749.814758588212,733.0908042399884,748.4827270507812,31060206,394.78083588666976,396.0788519270615,389.67822648183704,390.48388671875,13252938
2024-05-27,751.5168000055969,762.1974428837648,749.3955099218479,753.6627807617188,29385440,392.81142470930064,392.90093621140824,385.56034049832,386.2764892578125,12282545
2024-05-28,754.8467837037828,757.7821433020647,752.2321619595608,755.0441284179688,27908904,386.81362516359485,387.17169955273744,383.3671059718784,384.03851318359375,9668761
2024-05-29,748.8774560751649,751.763434227272,740.6141508121484,744.0921630859375,35147706,380.905302219086,387.08216305407205,380.905302219086,385.78411865234375,10832067
2024-05-30,739.6027730570852,751.6400771573121,738.8381451452329,747.3234252929688,33755350,383.59092107640083,385.78413731361627,378.0854671434653,379.4282531738281,21314885
2024-05-31,749.370736784836,757.7573743920395,746.9040786650703,755.5620727539062,74079588,382.0242696364464,384.530818401841,379.7862837203888,381.7557067871094,29300711
2024-06-03,788.8373406823981,788.8373406823981,764.6640888415991,775.6160278320312,72637256,388.514477016602,389.3201656528504,383.725200249957,385.24700927734375,16116836
2024-06-04,768.1173430540747,769.1040063078372,717.304185485308,731.684814453125,89531240,388.3821867291733,388.655699869346,367.2764265123082,378.5358581542969,47791986
2024-06-05,737.062160780223,769.4000136473305,731.2901444599279,765.5520629882812,81631650,384.7353989949108,397.4991534256846,381.13421955458244,392.302490234375,28197030
2024-06-06,772.0147015010076,772.2859977724349,762.9867083301413,769.4493408203125,46422870,397.4991442097778,399.04900387392235,393.0318302625804,396.9521179199219,32318523
2024-06-07,770.1154063679018,781.6099978301712,765.6754214599775,776.183349609375,36712216,393.3053706719897,402.6502400373076,393.03185750810144,400.3710021972656,29543660
2024-06-10,776.5039961939522,779.7846636223554,768.4133453075493,770.2387084960938,22454058,401.14593572253284,402.05763661284067,397.36240447731143,398.3196716308594,11872688
2024-06-11,767.6240504407497,775.0240252200629,765.7493660748642,771.9653930664062,29545326,398.4108722591482,399.1402214325666,394.0803145887873,394.7640686035156,13158571
2024-06-12,776.9973227739393,783.5586575880445,772.7546827700062,776.5780029296875,39280436,392.5303996702627,396.04041761505835,392.2112913693166,394.1258544921875,10751658
2024-06-13,780.3273770852536,782.2760131134276,776.5040566032491,779.8340454101562,24120192,398.31966398522343,398.31966398522343,391.801059088471,392.302490234375,9641349
2024-06-14,781.4372796414563,788.8372538804852,778.3292663726063,787.80126953125,25540554,392.94069703100786,393.7612076303779,391.16289035572373,393.07745361328125,9572809
2024-06-18,787.8013228802739,794.5106212671108,784.1259659599784,793.1786499023438,32415714,394.7640665251691,395.8581191738071,390.38794261342787,390.8893737792969,14641141
2024-06-19,795.941305047812,823.8145435842582,791.3039754417663,817.869873046875,90131196,392.0289712461894,392.7127252199132,385.6926892817779,386.2397155761719,11329972
2024-06-20,823.7651872236406,829.5124525875813,814.983860042712,823.5431518554688,41408742,386.6044066765355,388.8380493170652,384.2795737201941,385.9206237792969,15147549
2024-06-21,825.2697933574087,825.2697933574087,810.6178682451445,821.7671508789062,51630776,387.47051347196447,387.74402663160475,381.5900672225091,382.54736328125,26176371
2024-06-24,812.5172157896385,826.3798229097616,811.9005512360641,825.0478515625,28544994,382.9120368199867,386.5132163607238,382.9120368199867,385.9206237792969,9723008
2024-06-25,824.4065232844747,847.025767804676,824.4065232844747,844.2631225585938,74521548,385.64711062040146,386.5588115186297,382.68411881899715,385.9206237792969,10655609
2024-06-26,842.5857736709851,844.041138181783,834.2731473521208,839.40380859375,47596666,385.6471083760463,388.74688563312844,384.7810026407644,386.5132141113281,11511714
2024-06-27,836.7397746618053,845.0770913433391,832.0531241260426,836.7644653320312,55074650,386.51322519909763,389.5218411214756,383.9149079187151,388.0175476074219,38438054
2024-06-28,837.4797542547091,841.9197388781129,828.3037980772367,830.6718139648438,26476046,387.92633089490505,390.20556859037987,386.1029580750864,387.37933349609375,18554411
2024-07-01,828.7971921822882,842.2651706437105,828.7971921822882,841.2291259765625,21187024,388.65574690083577,392.25692663084254,387.15142444784703,391.16290283203125,13391362
2024-07-02,846.0637432263002,855.8810546817267,840.0204307746837,853.7597045898438,45921690,392.0290008128207,392.6215934135948,385.2368534593977,387.9263610839844,11177863
2024-07-03,883.5570176331604,885.0370126375711,870.5577402219837,872.5310668945312,123217802,388.4733708395652,391.70987576739714,387.9263445272619,390.4790954589844,7435499
2024-07-04,868.1404005851939,868.1404005851939,850.9231133709549,852.0578002929688,45848658,392.0290086178741,393.3965455899561,389.339500939741,391.16290283203125,9478861
2024-07-05,831.2638253093144,831.2638253093144,810.1492067263514,813.0598754882812,82242548,391.1172932126966,395.67576888063064,389.84091771413347,395.356689453125,13427543
2024-07-08,811.678583484828,816.4391857049037,802.7246020410699,806.7698974609375,39087800,396.72422041086423,405.29414529158566,395.3566835098957,404.42803955078125,21311436
2024-07-09,801.6639054458949,812.3691778178521,799.369901303005,807.3372192382812,48550878,408.07479488064865,414.8213465379182,404.79269491641344,412.6332702636719,27489709
2024-07-10,804.1059188594888,809.0639261539534,799.5672916548901,802.2066040039062,45507182,413.6361603295421,415.1404827339749,407.0719599600082,411.5848693847656,12065662
2024-07-11,801.1458762280633,802.0832183690328,789.8239394111588,800.1345825195312,44177074,410.26287723172686,418.9239921454672,409.0776632126487,418.1490478515625,19556596
2024-07-12,800.1839277769812,808.2745787950348,794.8312914757237,800.5292358398438,56049960,418.1490888232711,422.34289011600674,415.59633769775616,418.5137634277344,19693114
2024-07-15,800.9239527377698,804.031966294815,796.8292758573642,800.2332763671875,33375694,418.5137615167691,425.2603139042144,416.82711619633983,422.4796447753906,16876907
2024-07-16,799.5673062806881,802.6506292263948,797.6186702674619,799.073974609375,28950324,422.5251950379047,425.5338109620082,420.6562269340028,424.43975830078125,13497253
2024-07-18,793.2772787604164,801.1458943462288,788.9113057816174,796.6319580078125,33717064,422.1149345797316,429.31732238979913,421.7958262702707,428.7247009277344,21907158
2024-07-19,797.2239682199486,800.6772898644657,791.0573224261681,792.9320068359375,26002152,429.4085144147223,437.06676765638366,427.94978712828953,432.64501953125,25939326
2024-07-22,797.7172520784763,814.4905276323838,795.5712715150735,810.3218994140625,53744822,432.6905848326919,437.11230375842484,424.71325270358847,425.3514404296875,18762384
2024-07-23,812.7885887086006,812.9119216218081,791.7973027922226,798.407958984375,52002152,425.3514491191427,453.4772470105013,425.21469253973703,448.7364196777344,56125835
2024-07-24,793.3513220807449,799.6906218755655,783.4353677463822,791.3286743164062,61728206,452.2008718247006,465.55721919731405,447.3233168036432,450.4230651855469,43693692
2024-07-25,785.8773432331659,801.6639565310072,785.8773432331659,797.5199584960938,25535732,446.7306858915952,452.20086227300567,441.8531309735649,446.68511962890625,18567567
2024-07-26,791.7972838101718,800.0605887969758,787.5792741911353,798.2846069335938,43810540,450.42305878672033,461.6824910433161,444.36028979426646,457.8533935546875,21534703
2024-07-29,796.7306475152811,805.0432741154053,788.4920327099303,791.822021484375,51001148,460.86194876499803,461.5001364515738,450.423027797638,452.2464294433594,12978187
2024-07-30,790.3172853310259,806.4738965011826,788.8372904146756,797.001953125,54595834,452.4744082624718,453.84194523349976,445.4999379265304,446.6395568847656,13891052
2024-07-31,796.237255579839,803.0945773220608,793.8692396532248,797.1005859375,37820484,448.9643943431692,453.97870625063285,447.1865875952009,451.6083068847656,11982586
2024-08-01,800.627938629233,814.0219048337823,798.1859108540549,808.471923828125,26215174,452.155294892808,452.88467297760064,447.59681911064166,450.10400390625,12114803
2024-08-02,804.6238722852388,824.1104712768188,804.6238722852388,818.5111694335938,44119238,441.9898988909283,455.3462174298525,441.9898988909283,445.9101867675781,22141163
2024-08-05,809.1131991555811,812.02386783421,789.8239443515008,797.1005859375,41333634,437.6593419676077,448.4629384481495,437.20347706841375,443.08392333984375,25022076
2024-08-06,804.1305829139676,805.5858871810888,786.0253355957136,789.922607421875,45116050,443.31185723274336,448.28060277815945,441.3061325083515,443.3574523925781,14251363
2024-08-07,797.7172336137804,804.130544706532,790.415901512036,800.9238891601562,42346264,446.730673221321,451.83617488506997,444.99846182580694,449.14666748046875,11320399
2024-08-08,801.1705962949537,815.6252376687839,798.8272709671206,810.3958740234375,33976950,450.3774947823807,454.02426944874264,449.00992900000904,451.0612487792969,21349889
2024-08-09,814.9838462106346,820.1885189537674,811.9252142176729,814.0958251953125,26644618,454.02427391323624,454.02427391323624,449.55695973352357,452.1097106933594,9556181
2024-08-12,814.9838840860709,826.7991529902637,812.6898798741655,818.9798583984375,39316196,448.5540699171389,455.8476188744987,448.5540699171389,450.9244689941406,9425644
2024-08-13,803.1438891669751,805.314560371115,789.8979470194763,790.9092407226562,54055042,452.15526355477385,453.8875038800431,445.13522751757506,446.7306823730469,8056478
2024-08-14,792.5372946697382,796.0892584565494,790.9092761384464,793.1786499023438,32334428,448.5085016768149,454.93597422607183,446.6395336172972,448.7364196777344,9609981
2024-08-16,803.3906439659711,806.1779800129083,794.757339532809,805.1666259765625,27849246,450.8333053480392,459.67674280573084,449.1466602411071,458.26361083984375,13643352
2024-08-19,807.9045746403995,807.9045746403995,801.0225621096914,804.895263671875,19502164,460.17823437491796,464.3264405075642,455.4830018883327,457.1696472167969,10591508
2024-08-20,802.8726105839366,812.0239372458545,802.8726105839366,807.9292602539062,31134494,456.7593562708698,458.9474326908904,453.7507692522604,454.7536315917969,6888634
2024-08-21,803.1932814957441,806.3753069063249,798.1120014172305,802.0586547851562,47630904,455.8476340497613,464.0529130177818,454.9815283328472,460.77081298828125,8801221
2024-08-22,805.1172807347715,808.2252943260683,803.1439540663039,804.77197265625,21300638,463.0044977969278,463.5970904163863,457.1696463469196,459.99591064453125,8686423
2024-08-23,806.1038926835937,806.1038926835937,800.6772446912317,801.6885986328125,20333422,460.45171515256504,462.18392662579055,455.80207815406663,461.135498046875,8195369
2024-08-26,805.2159251748899,812.9858989531632,805.2159251748899,809.0392456054688,22364266,461.31782468341106,463.1412264870548,457.67104997039354,461.0443115234375,8126402
2024-08-27,810.7412543536698,812.714580974844,805.2159036816922,807.9539184570312,35773244,462.73096622811397,462.7765613871338,455.84765750673535,456.3946838378906,8260450
2024-08-28,807.9539173658313,808.9405806750858,804.2292392849356,807.6332397460938,26921188,456.2123437617104,457.94458422323976,452.65675920109425,453.3861083984375,8081932
2024-08-29,810.0505418236547,811.2345497877237,804.6979056469421,808.3485717773438,49052604,454.02427560774544,462.86771368427515,453.4316541292554,460.497314453125,19389694
2024-08-30,816.9572296027775,819.9172195651064,799.7646332824804,807.5346069335938,445342100,457.6254612839912,464.1896905333773,456.0300063539427,457.57989501953125,15523349
2024-09-02,812.4185353190471,812.4185353190471,800.7758609185206,802.6258544921875,34049680,459.49445011058486,467.6085389871661,458.8562623710469,465.01019287109375,16497266
2024-09-03,806.1039427589494,809.0392420850643,801.466613051357,807.756591796875,37282860,465.0101951235504,470.3892102248928,463.0500656317912,464.4176025390625,12481552
2024-09-04,808.5705516272349,811.4318992052836,805.1172301742814,809.951904296875,24682744,455.8476475462073,465.0101939214988,455.8020812824538,461.6369323730469,8739052
2024-09-05,812.0238589250097,813.947864316631,810.0505324148638,811.7525024414062,22876318,463.4603086443522,466.6968425307686,462.27512346983656,466.05865478515625,11318636
2024-09-06,808.2252499925564,812.8872099026286,806.1532209716318,807.5592041015625,26029602,466.78798605768634,466.78798605768634,453.2493162323431,457.39752197265625,14245025
2024-09-09,808.0772497858858,813.2572321563082,804.1799176724811,812.2705688476562,23792914,457.67105577087847,467.38059970737794,456.16676226622855,466.5600891113281,14265060
2024-09-10,815.9705333718649,815.9705333718649,808.0772271240113,814.1698608398438,26606646,466.6968459549575,469.52308122545986,463.8249866314957,468.2467346191406,11332248
2024-09-11,814.1945707781381,815.2305552034559,808.6692201411954,810.9879150390625,22226684,467.69970063527967,473.6257131371341,466.7424045783741,468.93048095703125,15497555
2024-09-12,815.970556634334,823.8638631072175,812.541925723635,822.1865234375,32424046,469.61425271712204,474.5374027816373,463.6426451989518,473.6257019042969,19085324
2024-09-13,825.8371886289187,825.8371886289187,817.4752411837702,821.8658447265625,23860532,473.6257080193676,474.0815440167886,466.7879946924352,468.4746398925781,9165077
2024-09-16,822.383822656841,827.7118283198007,820.9285184448568,824.3324584960938,15172820,470.34362273274417,471.3464850740398,464.69112327323506,465.9674987792969,7821668
2024-09-17,827.8104775064535,827.8104775064535,820.9778464556504,823.2718505859375,20127122,465.9218864737128,468.20112423719047,461.5457337870447,462.9132995605469,10889862
2024-09-18,824.7764529489335,838.1210972952287,824.4064542356848,836.0984497070312,40917342,463.0044794093549,467.15268536936793,460.4973235485926,462.5486145019531,5638729
2024-09-19,838.2691083056365,848.0370989791965,838.2444778560398,842.8571166992188,30651776,464.96459551918156,469.34074825372676,462.685357730768,463.369140625,14461616
2024-09-20,846.8037464482039,860.8390072921377,842.3884524296358,858.989013671875,60623386,466.78799784894,471.6655817468218,463.14122316210313,468.97607421875,24725118
2024-09-23,862.8370939539058,871.3963864151646,858.5204418257773,868.1651000976562,26965350,469.9333359228278,473.58011056733517,468.24671962512645,471.3008728027344,8105508
2024-09-24,870.7303607683197,878.9443447710721,865.4270455398441,872.2350463867188,33039036,471.3464925584321,472.0758417465427,468.7481752404364,469.75103759765625,7015487
2024-09-25,868.3376691203036,882.0769427901153,868.3376691203036,877.686279296875,31965312,469.978932353214,473.44338416672934,467.061506850851,471.847900390625,8802667
2024-09-26,874.7017352717152,882.0770195965482,872.2350769395101,879.8323364257812,31899644,471.93907909068867,477.50044603773256,471.3464864947561,476.5887451171875,16086557
2024-09-27,876.6503084858455,877.2422823547212,863.3303544458242,864.6376953125,35613502,474.30950915137026,481.83097676370437,474.30950915137026,476.54315185546875,17916386
2024-09-30,862.738402689165,864.0456833682003,850.701098537286,854.47509765625,26383534,474.62860125985065,478.047458146118,468.65699327542035,472.39495849609375,10936940
