,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2024-01-30,998.5819848189448,1007.338419115052,991.7440549694523,1000.5005493164062,16085742,603.0259172029118,610.7872908979857,601.8207331245812,604.279296875,16966577
2024-01-31,1000.4020967435955,1022.2440902784828,987.070629039353,1011.569091796875,25627447,603.9418631812425,620.1395252720102,599.6995917267393,617.5363159179688,23270745
2024-02-01,1017.2755035530364,1017.2755035530364,1000.9924764517363,1008.6174926757812,13058880,619.7056475917949,629.5399613532924,610.5462486775638,624.4299926757812,26587707
2024-02-02,1020.3746743205556,1033.0666601657867,1005.1738843616477,1007.4859619140625,14774650,628.623998836513,636.8674459475857,623.5140302472481,626.3582763671875,27471811
2024-02-05,1006.0102065272255,1009.8964570838909,995.7779026556566,1006.9940795898438,12948430,623.8996743944258,631.3236201370446,615.8490682349207,619.8984985351562,28339525
2024-02-06,1007.0432159063025,1018.2102106949073,1000.3037097510473,1009.8472900390625,12886927,621.3447251345781,631.5164671490533,614.8367310074694,626.936767578125,14079390
2024-02-07,1011.4214656725248,1014.9142629380416,996.6633703562916,1005.6658325195312,16410895,631.5646198105808,653.6436145166939,631.5164242193285,651.0404052734375,41696232
2024-02-08,1007.5843506463148,1011.6674477599702,969.3609072749921,973.3455810546875,20565502,656.0058526209428,693.1255240196265,654.1739491949825,674.46923828125,74222434
2024-02-09,972.9028503266528,997.401313514954,969.6068995994941,994.4005126953125,12799837,678.4222453850707,702.2366357119648,669.3110419771705,699.247802734375,43235061
2024-02-12,994.105320862232,995.876280283492,969.360890452768,980.035888671875,8050066,699.9708774628965,699.9708774628965,679.2417123589678,682.5198364257812,22873137
2024-02-13,989.7762629977263,1010.4868382114652,984.1681747459204,1003.3536987304688,18706292,683.1465652829623,692.2577691391986,676.9760578021069,687.8709106445312,23351472
2024-02-14,993.2690157159769,1018.997259686499,991.3012696355923,1006.2069702148438,17878720,680.2540625529531,721.6641976192514,680.2540625529531,716.7470703125,36782182
2024-02-15,1006.3544812043777,1010.0932466717068,990.3665448403932,1000.2545166015625,10069878,720.8928694462425,736.6084569548306,715.0597906860668,734.3909301757812,33941282
2024-02-16,1006.6989262673613,1009.650485394361,1000.5005380040549,1006.7481079101562,7159395,736.0782565173563,746.8284634371934,726.3403336305333,727.6419677734375,27365121
2024-02-19,1006.8464465307476,1029.1311947979043,1006.8464465307476,1026.91748046875,9388255,731.4985393690836,737.5726553496461,723.1104464212216,732.02880859375,13979584
2024-02-20,1024.2610180558977,1035.6739206502066,1016.5867607398595,1031.8367919921875,11293528,731.8359847570562,736.1264519437863,726.967052738199,732.8483276367188,12528399
2024-02-21,1039.7569873370444,1046.8408245754547,1031.0988572886058,1034.985107421875,15946325,733.3786255385841,749.6244830800896,732.3662238537067,743.839599609375,21465311
2024-02-22,1038.969987954932,1048.808718901475,1023.5232284095382,1045.5618896484375,13432573,745.2857902765477,745.2857902765477,729.8594349797497,738.4403686523438,18799244
2024-02-23,1052.744218252001,1052.744218252001,1040.5934094728898,1044.1845703125,13142759,738.4403812825284,742.8754349674641,727.9311530180862,731.8359375,14143636
2024-02-26,1036.1166162761153,1045.1683197973161,1033.558570535963,1037.1988525390625,7875941,727.9312082579945,738.8742565255047,725.7136812472469,731.69140625,11355186
2024-02-27,1033.8046204513494,1049.0054112267308,1029.6231599356051,1043.1021728515625,10580973,731.6914003457339,735.0176614115741,715.590128867995,722.9658203125,13969393
2024-02-28,1045.8569952406344,1047.6771362637548,1025.3432672847086,1029.327880859375,7730332,722.965792248516,729.6184318157158,714.4331126203441,715.8793334960938,11263318
2024-02-29,1026.22885861961,1043.5941223069317,1021.7521880889905,1035.231201171875,20944844,717.2291322182092,726.8706043069235,710.721138558327,721.2785034179688,19217113
2024-03-01,1037.986009477885,1072.3723226042753,1037.0021364831193,1069.37158203125,14909562,725.0387042946561,744.3216485578118,724.9905087033734,741.5738525390625,17348526
2024-03-04,1063.5667080999103,1077.3409300364494,1062.6811983836533,1074.733642578125,11424581,746.635654393883,749.1424137066598,741.4292357019581,744.369873046875,9789141
2024-03-05,1068.6829125129027,1081.7684727754213,1059.1393914895327,1070.503173828125,9222544,741.9113219415058,758.7357035196916,741.525639495962,755.84326171875,18088847
2024-03-06,1062.878109231162,1095.5918883060335,1062.878109231162,1079.4071044921875,21796484,755.5540071356407,761.9655509647814,745.1894243197579,755.7950439453125,26710525
2024-03-07,1077.2917746056637,1077.3410163000535,1065.2393294461426,1070.4046630859375,9963926,761.6763024583448,764.954426539321,754.9272719302329,759.7962036132812,15497868
2024-03-11,1070.404535791999,1070.404535791999,1059.3852067115477,1061.3037109375,13310362,761.6763431224929,764.375943708488,742.9236669559873,745.9607543945312,16778340
2024-03-12,1059.6804892440682,1077.1442354316735,1038.625582496139,1059.483642578125,21785435,742.3934128308799,749.8655543236582,730.1969260813347,732.4627075195312,21529705
2024-03-13,1059.77885170946,1072.0772645081547,1055.8433596138777,1066.4691162109375,24855870,731.450347794911,736.3192797248611,716.3614195245849,720.4590454101562,27950252
2024-03-14,1062.5828370894137,1079.4070413229927,1057.7127137934276,1066.124755859375,14231421,723.0140618967187,723.8817591322932,707.7322923467271,714.4813232421875,19730882
2024-03-15,1054.7119299877845,1068.7321212212976,1052.7441838497475,1062.92724609375,66192734,712.7458828582031,719.7841462932436,697.0784894237145,705.659423828125,29792241
2024-03-18,1057.7128263089558,1067.3055890531218,1042.9547297794695,1063.7635498046875,8769440,701.0314668855465,711.4443046336356,696.2107304639793,704.7434692382812,18145126
2024-03-19,1061.0578145795118,1071.1917547663113,1057.9094689437209,1066.4691162109375,16708715,703.8275174114212,708.0215345586139,695.294837485665,697.8497924804688,15205043
2024-03-20,1062.5829470306016,1072.4216780216257,1050.2845332918216,1067.0103759765625,18725251,699.1514430237444,712.4566640874273,693.9932196245381,709.8534545898438,25405455
2024-03-21,1074.3893386064215,1082.2603227720363,1061.7465943107402,1064.3538818359375,19992607,715.3972193126948,723.6888616581621,713.999194109353,717.61474609375,15161161
2024-03-22,1063.7143347625467,1076.061869046459,1061.303773813482,1072.716796875,17214415,717.1809169690966,721.9534576831707,714.8188032557894,719.9287719726562,15535921
2024-03-26,1063.5667354159368,1071.585324555275,1059.58200164128,1066.22314453125,13367635,716.4096538721063,721.0375492356,712.0227953384497,713.5172119140625,14678342
2024-03-27,1066.223219242338,1074.8813504721743,1062.1402420015347,1066.2724609375,26907245,716.3614570597734,719.1092533764988,704.0203831624405,707.0092163085938,30088789
2024-03-28,1067.5022626495677,1087.2289654055658,1067.5022626495677,1075.66845703125,22070566,711.299633363139,732.3180316341789,710.480131739764,725.3761596679688,21705116
2024-04-01,1078.3740966909645,1085.162724605495,1076.7998037410023,1081.916015625,10848191,731.8359644474378,734.1981369990166,725.1351292346699,731.1128540039062,9949971
2024-04-02,1076.7998684057336,1076.7998684057336,1061.845045296533,1063.7635498046875,14380396,731.0164660314755,741.1882078791733,726.3403165012812,738.9224853515625,15713063
2024-04-03,1057.6634084362693,1066.1739333709988,1054.9577578565486,1059.827880859375,15477184,737.4762911492417,744.9001782599978,732.8965914876521,743.40576171875,19136981
2024-04-04,1067.2562910312008,1068.2894057744195,1046.2997470246664,1061.451416015625,21419689,747.2141506069232,747.5033830248789,730.9200378484845,732.0770263671875,15889530
2024-04-05,1052.7441775200211,1068.4861465296663,1050.235253168432,1065.9281005859375,15340637,730.7754145215962,740.1758501398218,725.6171914639816,737.3316040039062,9939620
2024-04-08,1060.9594232885527,1074.1433454810406,1058.9425557038237,1069.6175537109375,8023461,738.5850021452578,742.3933956194346,734.4873762603453,740.7543334960938,9797174
2024-04-09,1074.340076856861,1097.2643658518941,1070.7490364796934,1089.1966552734375,12298463,740.8989563252226,744.7555452746966,733.8124388224375,736.8013305664062,7465892
2024-04-10,1093.0337202336968,1098.5435054120717,1087.3273285870816,1091.5087890625,10598000,739.0188603767406,752.7097629710994,736.2710642780829,751.118896484375,14530669
2024-04-12,1085.7038457563601,1093.9191612122947,1078.1280717650227,1086.58935546875,12216657,749.3834123957522,751.5527435992136,737.3797679672235,738.8259887695312,14408722
2024-04-15,1082.4570746408115,1088.3111913118553,1059.2376948297706,1060.95947265625,10526597,732.5590796729715,735.9335950981468,721.9052641714367,730.341552734375,11356572
2024-04-16,1053.2853525855292,1057.2699664181264,1045.561852981989,1049.841796875,11278092,724.315633679616,727.8347947397396,717.7112484453821,724.74951171875,13338991
2024-04-18,1056.67972736376,1060.66446152718,1033.5094674241823,1038.4288330078125,16564216,725.0869303823578,732.7037172254089,715.3972622519597,718.0968627929688,14589648
2024-04-19,1035.9691407376135,1054.7119714804403,1031.1973801854901,1050.03857421875,11284433,708.166151201757,725.0387279832828,705.8039786829678,723.5443115234375,10886554
2024-04-22,1061.4023525762484,1071.1426002239434,1053.088552786897,1069.125732421875,10346714,727.1116662441453,741.4292292520696,723.5443096786286,738.6331787109375,17452186
2024-04-23,1082.2603648639933,1082.2603648639933,1065.239312903183,1072.6676025390625,9848215,742.7308138738571,749.8173315016863,738.1029188222026,745.2858276367188,12292429
2024-04-24,1074.6353155118281,1080.686158658188,1071.4377281688085,1079.062744140625,5461309,750.5886207443748,750.5886207443748,742.5862104814081,745.3822021484375,7842615
2024-04-25,1072.4215900322672,1107.4966871577883,1072.3723483406734,1095.78857421875,19905338,743.0201189674838,785.2015621323537,742.0559716951439,783.5625,36732974
2024-04-26,1094.2144193811591,1101.9377986819404,1084.9659888361693,1090.032958984375,14190059,786.6478140668245,787.611961377191,770.257309790593,772.5712280273438,14964358
2024-04-29,1090.1313056288498,1144.6870165205935,1090.032942347235,1141.4403076171875,28578063,778.0668646229158,801.4474364532822,770.0644538689087,796.8677368164062,27302732
2024-04-30,1141.2434493596547,1150.6887263324581,1128.2563736745785,1131.8475341796875,29568491,796.8677458100889,804.91835225018,790.5043971499949,796.626708984375,27449073
2024-05-02,1124.5668940413143,1136.8653071432534,1114.9741318218018,1121.0740966796875,25118334,797.2534375772727,804.0024687760509,795.4215341417088,800.2904663085938,19943724
2024-05-03,1122.8944193922243,1138.7347523146345,1117.1386656639672,1123.63232421875,19933604,804.8700673212338,806.2198969341655,790.6007005921169,801.6401977539062,22667634
2024-05-06,1123.1403237344898,1139.767682131019,1119.7458896646774,1127.813720703125,14970524,805.0629516671522,806.0270989146577,774.2102397469739,778.838134765625,35283557
2024-05-07,1129.4369636309043,1134.1596020771042,1108.1362092373274,1113.6458740234375,15097728,782.8875213212029,785.4425349233778,764.7615658481657,773.149658203125,16725013
2024-05-08,1108.3823240237211,1113.7443845482246,1098.0516561458446,1104.8895263671875,19913090,773.8245110587671,792.5289900811847,770.8356783088896,781.7305297851562,27908322
2024-05-09,1102.4790338657724,1110.6451084134283,1092.0991247743116,1097.7071533203125,12229853,782.7911700385396,809.5462560286481,774.7405052523084,790.4078979492188,49290254
2024-05-10,1099.9700317150034,1110.6942716080541,1094.1160353113987,1099.035400390625,8573656,797.3498214011286,802.2187535230167,786.3585185830859,788.0457763671875,20543142
2024-05-13,1094.4604418124766,1112.4161255815404,1088.8522931770124,1109.808837890625,9707983,790.456122787604,790.456122787604,769.9679931182314,779.8023071289062,15398505
2024-05-14,1107.7427007496667,1109.7104468669584,1100.5112577889583,1102.47900390625,8944262,783.8517179173241,792.9147256484775,778.9345904580701,788.8652954101562,10912462
2024-05-15,1104.003936981434,1109.612085486358,1095.5426526828924,1106.2176513671875,10743423,791.5648684373534,795.7106897182591,788.7206223660413,790.8899536132812,9755062
2024-05-16,1114.7281968433215,1118.2209943092364,1094.8540087178606,1112.8096923828125,14265565,795.7107594941345,796.5303200119738,768.7628305348695,782.8394165039062,20536990
2024-05-17,1112.8096108108375,1125.5507181902365,1102.528065843281,1112.2684326171875,8641784,785.2979013861104,792.9628834636741,782.1162273671808,788.5277709960938,12492509
2024-05-21,1104.1022778238569,1115.5153011731006,1098.2482812745363,1102.8724365234375,10452900,791.5649127770058,806.3163543151672,790.2150830532505,800.8689575195312,14037801
2024-05-22,1106.857133236162,1107.742642963088,1080.3909253188892,1093.1812744140625,17527411,810.2799344229562,810.3780018937406,797.5358302513197,802.6334838867188,19239277
2024-05-23,1097.5596331640875,1118.6636621265907,1093.4765359706398,1116.2039794921875,13787687,808.4663420586099,819.0537392891404,805.8194777925474,815.7206420898438,17497488
2024-05-24,1111.7765639224867,1116.6959292495774,1106.0209305101291,1113.695068359375,6312670,813.6620166705683,824.6905681013441,810.7210696223614,812.28955078125,12252075
2024-05-27,1113.6459433951586,1129.2895491082788,1103.4628812192523,1111.579833984375,11599857,816.2108014350272,822.876995845969,806.7997949535047,817.2891845703125,12295193
2024-05-28,1114.2361779831701,1116.8925870555686,1106.8571304468578,1108.775634765625,9311718,819.2498532378913,824.151431802395,807.093914464433,814.7894287109375,13818893
2024-05-29,1097.067741329381,1105.4306626270395,1080.7845935856149,1084.2281494140625,19268547,812.0935412900568,818.0244392460639,803.1726326134542,806.4567260742188,14518232
2024-05-30,1079.308747806472,1102.9217012680538,1079.2103845207203,1095.7393798828125,15255387,805.2313320096405,819.5439171556648,803.1726331596147,809.5936889648438,17818705
2024-05-31,1099.970086377496,1112.366862972861,1093.328943190512,1102.970947265625,26197718,814.3482733523172,818.5636189442075,801.0159437782618,814.005126953125,22267336
2024-06-03,1151.1314549939386,1154.0830741093077,1117.974981638635,1141.292724609375,25699977,846.5516101706216,894.0479177688353,839.8854753820721,887.8229370117188,64269020
2024-06-04,1139.2265453107807,1140.702354777864,1036.5594240710273,1054.170654296875,43476837,879.3431739398783,879.3431739398783,717.542081270305,759.9407348632812,122381193
2024-06-05,1067.5022525173526,1105.1353964425034,1034.0998107211954,1090.7708740234375,42172104,775.1846003180706,779.3509418310036,729.4038474915685,774.2042846679688,74256082
2024-06-06,1099.970087057546,1099.970087057546,1078.9151794387894,1092.49267578125,18574162,784.2525339544707,816.9460375302097,780.3312712846982,800.868896484375,40555649
2024-06-07,1092.4926581643756,1110.104009770429,1085.8022733872265,1103.6103515625,17197635,803.7608761709042,815.1325144961712,794.545884544975,813.613037109375,25061284
2024-06-10,1098.0022563128857,1114.9248236920885,1097.1167466019742,1105.676513671875,10851455,817.7303524667053,828.8079077389773,812.877777859861,815.4265747070312,16725508
2024-06-11,1101.6919214874545,1110.8419895056586,1093.0830317236544,1100.1668701171875,12250002,819.5439372413512,823.0730498797147,812.730731059502,819.102783203125,14754408
2024-06-12,1102.9216850641683,1115.1217348604168,1094.0668276461688,1101.4951171875,16096514,820.5242466911467,828.905934018559,816.6029838634709,822.5828857421875,15071442
2024-06-13,1104.1021886675976,1105.0860616284854,1087.1796217809997,1089.49169921875,12494254,828.3667754966601,829.2490835697314,819.6419417384134,827.2884521484375,12523972
2024-06-14,1096.0345294527124,1096.0345294527124,1081.719129164698,1087.8192138671875,11377979,828.3667270254315,833.1702976600134,818.6615781244269,822.680908203125,12903496
2024-06-18,1095.9853271941342,1116.7451444635597,1083.4409459075023,1104.7418212890625,18306176,824.9846443812804,834.7387973148866,823.7102459704445,828.2687377929688,14929083
2024-06-19,1109.75950368303,1146.75322461017,1107.9886043418487,1125.993408203125,34309514,830.1313196004876,843.6596642417119,824.4455005291003,835.817138671875,32925140
2024-06-20,1135.4386364718932,1141.2926325377728,1117.1877450402078,1138.144287109375,15475933,836.209277488426,836.3072851232247,825.7688915323681,827.141357421875,13985352
2024-06-21,1144.7854792681483,1151.033048809149,1132.0934935247788,1139.9644775390625,69259425,828.2687636644131,831.3567222370788,812.2895697948148,819.8380126953125,18990090
2024-06-24,1136.0289470067053,1156.6902793435293,1134.0612010698649,1151.229736328125,12210295,815.1325081138934,819.543928783181,804.8881970373593,816.3088989257812,12715254
2024-06-25,1151.3773811074136,1186.5508409447048,1148.8193353214021,1178.630615234375,27309845,820.5242410117988,829.2000110244921,817.8773766546938,825.6708984375,20917530
2024-06-26,1182.6154524579229,1203.1291823342124,1174.59686276576,1198.357421875,25403461,823.3181026095383,832.0919399410025,819.5439111626723,828.7098388671875,16281760
2024-06-27,1208.5403632954783,1215.083142699582,1189.6008082372055,1200.2266845703125,20516632,827.288405942117,830.7195107377448,821.7495985528304,827.3864135742188,20378887
2024-06-28,1207.2122974343558,1207.2122974343558,1177.0565628057336,1180.254150390625,12507092,830.2293784821371,846.992752780768,827.386439058991,832.239013671875,23636388
2024-07-01,1180.25407382428,1195.7500741919466,1172.8259044392062,1192.3065185546875,8636894,832.6311314704473,833.7585184800706,823.4161996179325,825.3768310546875,10967797
2024-07-02,1197.3734411453652,1197.3734411453652,1166.4306833322826,1171.399169921875,16153925,827.3864282167037,829.6411422984175,806.9468703630849,809.8878173828125,21142840
2024-07-03,1177.54840489326,1196.24199235147,1160.428990253299,1182.2218017578125,22330897,812.6817296590598,827.2393941277866,808.760466789776,823.4161987304688,23598009
2024-07-04,1209.179986290108,1215.033982934888,1194.7171004020095,1213.115478515625,15275791,826.4061106133324,828.2687343216311,817.8773523092979,822.7789306640625,13372587
2024-07-05,1205.2444756355717,1222.5606171427328,1201.1613784936928,1213.509033203125,9535575,821.5045497192135,844.2968895533086,820.5242340274244,842.826416015625,24873722
2024-07-08,1209.0816030717467,1219.5106332770943,1197.2751265898385,1215.1324462890625,6617190,842.8264296839359,847.9730871492928,836.6994565108919,839.3953247070312,10359800
2024-07-09,1215.0339475267522,1230.038011199292,1209.4751610015549,1228.1195068359375,13366874,842.9734801738035,852.8256408262188,839.1502250746712,844.3458862304688,13585081
2024-07-10,1232.5469141994527,1232.5469141994527,1216.4113728030459,1223.15087890625,18226503,843.1695051813592,843.3165764690709,826.8962885808327,832.2880249023438,17343236
2024-07-11,1226.2501602309792,1237.5155787915146,1205.2937361837155,1218.4775390625,11307116,837.5817726337938,841.4049680302959,833.0232806157347,839.8364868164062,8501366
2024-07-12,1215.9687089511149,1232.6945505595163,1210.2621973028672,1213.01708984375,12208290,839.8364577356562,846.0124345728623,838.4639918457344,842.7774047851562,11446064
2024-07-15,1213.213848187686,1218.4775450466864,1204.309869041595,1210.1146240234375,15612671,842.7774216383809,869.8831149197468,842.7774216383809,864.001220703125,25392820
2024-07-16,1210.1638079399554,1224.9219031587354,1209.1799349253702,1219.9041748046875,12320605,864.9324947942838,870.6183136551655,857.0899695148005,863.364013671875,11893692
2024-07-18,1214.9849267751276,1236.1873202209238,1211.8364607641408,1230.1365966796875,10999632,863.315023261012,877.2845216320075,860.2270049507774,875.9610595703125,19435183
2024-07-19,1223.9380279933182,1230.3332025768846,1220.2485041951068,1228.5130615234375,7958817,877.3825576774864,881.3038205050954,865.912851939986,871.84375,14562742
2024-07-22,1220.0026771573469,1225.2172527697476,1213.0172019778342,1221.1341552734375,9958965,864.0992633045507,877.382528728047,850.914005515022,859.540771484375,14614111
2024-07-23,1221.1341050565184,1228.5131532036169,1192.9461171142627,1206.96630859375,19369832,865.618719345537,867.0891928212089,832.385994861864,846.8947143554688,18279212
2024-07-24,1205.2444794873966,1213.7550053424823,1182.6646411572679,1203.2767333984375,20122521,847.1888058977289,850.9139934414429,830.5234396667329,835.2289428710938,19624845
2024-07-25,1186.0589540798987,1198.6033353860112,1171.3992217096722,1178.58154296875,14154461,830.8175358859385,834.0035618347636,824.6415590903446,831.7978515625,9522375
2024-07-26,1170.808877642708,1200.3250678353813,1166.824143926023,1187.7314453125,19309265,828.0236595382181,847.2378228513442,827.386430415429,845.4732666015625,12081506
2024-07-29,1195.5533833447412,1222.7082560181059,1184.7307795900044,1193.142822265625,28458261,849.0023752250042,871.5986394833856,846.208499495082,854.443115234375,26582781
2024-07-30,1193.4379877337221,1211.0000973333736,1184.976703679443,1189.9451904296875,23972277,857.4821305468374,863.2169532964333,851.8943192478578,855.6195068359375,13528447
2024-07-31,1199.3412284660044,1204.9001351285349,1191.4702441938732,1195.307373046875,22297629,856.6488268509507,857.727209991399,850.9140040978348,855.2274169921875,11636874
2024-08-01,1192.946036063854,1202.9323712314479,1187.4363711753606,1190.584716796875,8725046,860.5211196893349,864.0502921513843,842.5323503146797,845.6693725585938,11787203
2024-08-02,1177.6959907114142,1182.2710242194773,1170.9072429350965,1177.2532958984375,10735395,839.8364743996533,841.4049555903533,829.494155703777,831.16064453125,12609331
2024-08-05,1162.937883324056,1169.7266310287719,1148.1797883580148,1153.689453125,14306771,813.6620483537691,814.9854506435058,784.2525767265245,795.6732788085938,27676951
2024-08-06,1156.0508158159441,1168.5459553164283,1142.768529846995,1148.0322265625,13575619,806.4567530115417,810.2799484288843,779.988228505242,781.9978637695312,17900930
2024-08-07,1159.9370447242293,1160.7734328695763,1142.8668719088475,1153.5418701171875,15753644,793.0753863597355,794.7419349850848,784.7917068840424,792.7322998046875,17692355
2024-08-08,1148.1305589944793,1155.4604849673224,1140.2104533386794,1145.8184814453125,10806438,796.01636305695,801.7021822548979,786.9974464841414,792.1441040039062,14769069
2024-08-09,1157.5758097480823,1161.9047548052447,1150.1475206629223,1152.70556640625,8687307,799.9376104147318,813.6130263830515,793.6145621891944,808.07421875,15320885
2024-08-12,1162.0336803927066,1169.228167312303,1147.1485350418181,1163.8199462890625,10860455,804.4470175738744,806.799799123275,795.2320861451166,796.6044921875,16120449
2024-08-13,1174.1402001247322,1180.143923785119,1154.6903013699869,1159.4039306640625,13117927,797.4868163142143,803.8588683191833,779.3999798102883,781.8507690429688,17585172
2024-08-14,1158.0642597488902,1161.090954297597,1144.1714580038308,1152.7552490234375,13431801,785.183846292551,793.2224467373169,784.6446846418667,787.1934814453125,11788665
2024-08-16,1161.0412636212889,1183.8651517095705,1156.7245959708455,1178.1591796875,10961370,787.1934703278642,798.85925054641,787.1934703278642,796.1143188476562,11427335
2024-08-19,1181.8804727263328,1186.5941018157116,1164.3160506791048,1166.8961181640625,6686394,798.9572597142997,809.1525664711355,796.6044782061931,797.682861328125,10151482
2024-08-20,1165.2091443736933,1180.6897926432184,1161.041352076898,1170.4189453125,10427061,801.8492361476191,806.7998184496117,797.3397480422,804.1529541015625,10347493
2024-08-21,1167.9876876109618,1169.625077755297,1156.178781920312,1165.8541259765625,17234142,804.1529595522029,804.8391925113443,795.2321105845307,799.4964599609375,14607257
2024-08-22,1172.9494391539793,1183.468250844818,1167.5907626667606,1181.979736328125,8564142,802.8785556624933,807.6821265102021,801.0159319051235,804.1529541015625,7832917
2024-08-23,1183.8651886303296,1195.7733045260243,1179.449310773257,1194.2847900390625,7518309,805.3293192807621,805.8194771135562,798.4671096216442,799.3003540039062,5537747
2024-08-26,1196.3191076607097,1205.647034605679,1191.8535643266057,1204.009765625,10920226,801.8982298568817,807.2409623037237,797.7808920155667,799.0062866210938,8523795
2024-08-27,1204.0098351320562,1223.0627726699063,1199.6435016150756,1216.9598388671875,16295325,801.702163529934,803.3197083604263,795.0850325876467,799.839599609375,12833290
2024-08-28,1213.2882407138438,1217.009527109644,1207.9792296829603,1214.47900390625,12291305,798.7121942115388,801.1139795760346,790.6245899129868,793.467529296875,10371300
2024-08-29,1209.6164607584685,1225.5436144859966,1207.681440347739,1212.5439453125,10806748,793.6145275853862,799.937575535221,791.0657308125117,798.4671020507812,18247268
2024-08-30,1220.5818867193016,1226.0894388087463,1209.5669036760319,1219.7879638671875,21211148,801.0650084127782,804.5451172254517,798.3200765507661,799.5454711914062,8911426
2024-09-02,1229.5129791826912,1229.7113993287953,1213.1393196536237,1220.5322265625,12516759,801.2119858304522,809.1525786646832,797.04564422928,805.966552734375,11813750
2024-09-03,1217.8033299887798,1241.371477184039,1211.055469999512,1238.1463623046875,19114907,805.966591337859,809.6917790988241,800.3297759604034,808.5643920898438,10548350
2024-09-04,1230.3565014424944,1234.176997942738,1223.3605556490777,1226.88330078125,13505843,799.3984149013352,802.5354369721819,797.6338586845211,800.427734375,10789570
2024-09-05,1228.5206798050983,1235.3182053814185,1221.8720299114532,1226.486328125,9142811,802.2413336710257,805.9665812189434,798.369134501237,802.6334838867188,8395074
2024-09-06,1216.5628019074484,1224.4520011114125,1195.7732653744783,1198.899169921875,10170479,795.5262015930762,796.8986675256167,761.7053094735923,767.0970458984375,40220096
2024-09-09,1193.6893937018356,1228.8183593866072,1191.2580807218426,1225.5435791015625,13863250,769.5477977846319,772.6848198824725,755.8233784610844,768.8125610351562,21322103
2024-09-10,1227.4786328440832,1231.844966297702,1217.6048683884173,1227.8260498046875,15545130,772.4887444671417,773.2729850328517,762.1954299786836,767.2440795898438,12824701
2024-09-11,1222.0704612349368,1229.8107854485313,1217.009535927106,1226.88330078125,11993242,764.6952691046852,772.4887910829905,750.3336796377038,753.4706420898438,20060665
2024-09-12,1228.520699503871,1247.3752175091806,1216.9598787103319,1242.5623779296875,15376442,759.7446278215249,774.3513549221617,757.5389176117205,772.24365234375,17578964
2024-09-13,1242.4133910945052,1246.333097348584,1232.5396270556282,1240.7760009765625,9877288,775.429725098296,779.3509879306515,769.6458384870828,775.2826538085938,12950936
2024-09-16,1241.4210578615323,1255.9092410243197,1235.169248684242,1253.1802978515625,8973335,775.2826362662203,779.3509702962235,768.9596479590956,770.0869750976562,9553736
2024-09-17,1250.302517024621,1262.508384404533,1248.7644580527592,1258.39013671875,11513121,770.1360013393838,771.9986251303302,765.1854189481497,767.4891967773438,10665630
