,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2024-02-06,1007.0432159063025,1018.2102106949073,1000.3037097510473,1009.8472900390625,12886927,387.9648734146209,388.7584232256236,378.7066059872792,380.3819274902344,19487043
2024-02-07,1011.4215270569979,1014.9143245344969,996.6634308450767,1005.6658935546875,16410895,383.5561516187938,383.5561516187938,379.8528449472176,380.7345886230469,13376903
2024-02-08,1007.5844138284667,1011.6675111981591,969.3609680602832,973.3456420898438,20565502,384.0384650856425,384.12797657888825,365.77650329864366,371.1029052734375,50039587
2024-02-09,972.9028503266528,997.401313514954,969.6068995994941,994.4005126953125,12799837,367.11932249698526,379.74157904258544,365.77653649119355,371.953369140625,33527317
2024-02-12,994.1053827736114,995.8763423051639,969.3609508231015,980.0359497070312,8050066,373.7884809183948,374.1913251991492,363.49375120632266,364.20989990234375,11326971
2024-02-13,989.7762629977263,1010.4868382114652,984.1681747459204,1003.3536987304688,18706292,364.25467327388895,367.74593366409346,361.03197574005617,364.1203918457031,16207766
2024-02-14,993.2690157159769,1018.997259686499,991.3012696355923,1006.2069702148438,17878720,363.44906053827515,369.0440262056098,362.01673457435237,368.4173889160156,12618012
2024-02-15,1006.3545426117516,1010.0933083072188,990.3666052721892,1000.2545776367188,10069878,369.7154093192213,371.10296536010526,360.8977455956946,361.56915283203125,21169031
2024-02-16,1006.6989262673613,1009.650485394361,1000.5005380040549,1006.7481079101562,7159395,362.55384464630635,366.6269726665046,357.54074654679084,362.1957702636719,38963810
2024-02-19,1006.8464465307476,1029.1311947979043,1006.8464465307476,1026.91748046875,9388255,362.5538636156247,369.49161543120795,362.1957892142552,366.3584289550781,17602580
2024-02-20,1024.2611392299666,1035.6740431744663,1016.5868810060339,1031.8369140625,11293528,367.4326485808488,367.4326485808488,361.9271948494633,363.5385437011719,14626643
2024-02-21,1039.7571099701715,1046.8409480440782,1031.0989789005582,1034.9852294921875,15946325,364.3442216530248,367.1193336213837,359.24161197934507,361.0767822265625,20162369
2024-02-22,1038.969987954932,1048.808718901475,1023.5232284095382,1045.5618896484375,13432573,364.2547293541822,371.64009555619225,361.1663127730457,371.0134582519531,19321180
2024-02-23,1052.7440951810236,1052.7440951810236,1040.5932878224016,1044.1844482421875,13142759,372.3114390234385,372.3114390234385,367.477392438148,368.2830810546875,11576964
2024-02-26,1036.116738219057,1045.1684428055735,1033.5586921778424,1037.198974609375,7875941,368.0145200385987,369.7601503452562,364.6127709260232,366.31365966796875,8289561
2024-02-27,1033.8044994690943,1049.0052884655845,1029.6230394426907,1043.10205078125,10580973,367.0298119400418,369.49159101888046,365.73176749593637,368.05926513671875,8083518
2024-02-28,1045.8569952406344,1047.6771362637548,1025.3432672847086,1029.327880859375,7730332,368.0592248716431,369.133476258572,364.16514870796414,365.5079345703125,8949664
2024-02-29,1026.22885861961,1043.5941223069317,1021.7521880889905,1035.231201171875,20944844,366.1345972319124,367.9697389838581,362.10621099325186,363.7175598144531,15468800
2024-03-01,1037.986009477885,1072.3723226042753,1037.0021364831193,1069.37158203125,14909562,366.04508647727596,369.8496514216038,364.7918120169836,366.5821838378906,12873024
2024-03-04,1063.5667080999103,1077.3409300364494,1062.6811983836533,1074.733642578125,11424581,369.0439721519782,369.67060934978923,365.6422233108164,366.2240905761719,7103794
2024-03-05,1068.682790650156,1081.768349420518,1059.139270715041,1070.5030517578125,9222544,366.71646865030743,368.28307592576715,361.61385926389903,363.5832824707031,10108373
2024-03-06,1062.878109231162,1095.5918883060335,1062.878109231162,1079.4071044921875,21796484,363.89662847613386,366.98504483260456,358.7045074023188,365.1051330566406,11534613
2024-03-07,1077.2917746056637,1077.3410163000535,1065.2393294461426,1070.4046630859375,9963926,365.10509361639873,371.4609770186439,361.3452704706233,370.20770263671875,23907135
2024-03-11,1070.4046589090813,1070.4046589090813,1059.3853285611954,1061.3038330078125,13310362,373.11715357829127,374.4599396612226,365.2394317224076,366.4927062988281,18298683
2024-03-12,1059.6804892440682,1077.1442354316735,1038.625582496139,1059.483642578125,21785435,363.89660411866976,363.89660411866976,357.4959505214604,362.06146240234375,36226074
2024-03-13,1059.77885170946,1072.0772645081547,1055.8433596138777,1066.4691162109375,24855870,389.4096888737355,392.0952609994141,377.0112531117893,378.17498779296875,105525827
2024-03-14,1062.5828370894137,1079.4070413229927,1057.7127137934276,1066.124755859375,14231421,377.72738966516533,380.9053175233625,374.1913590552437,375.6684265136719,31949569
2024-03-15,1054.711808860948,1068.7319984843327,1052.744062948894,1062.9271240234375,66192734,373.47519557546644,383.6356443794862,371.7295653076996,375.1760559082031,76074975
2024-03-18,1057.7127049329833,1067.3054665763489,1042.9546100970365,1063.763427734375,8769440,375.08656109013026,376.60839849305466,373.2066493049854,373.6990051269531,16547358
2024-03-19,1061.0578145795118,1071.1917547663113,1057.9094689437209,1066.4691162109375,16708715,374.1913725840706,375.57892859039265,365.86606491745584,366.6269836425781,21803126
2024-03-20,1062.582825466805,1072.4215553322383,1050.2844131350132,1067.01025390625,18725251,367.02980631746095,372.9828459519357,366.62696200946334,372.1324157714844,20364534
2024-03-21,1074.3893386064215,1082.2603227720363,1061.7465943107402,1064.3538818359375,19992607,375.086545384835,377.77211732469914,372.57999644292715,377.1007385253906,19968509
2024-03-22,1063.7143347625467,1076.061869046459,1061.303773813482,1072.716796875,17214415,377.10074305597453,384.62036160072563,377.10074305597453,383.680419921875,40358503
2024-03-26,1063.5667354159368,1071.585324555275,1059.58200164128,1066.22314453125,13367635,380.9500748588195,384.2175424825222,380.9500748588195,382.8299865722656,10669833
2024-03-27,1066.223219242338,1074.8813504721743,1062.1402420015347,1066.2724609375,26907245,382.24811039415033,383.9489991957222,381.75575456584926,383.143310546875,12698464
2024-03-28,1067.5022626495677,1087.2289654055658,1067.5022626495677,1075.66845703125,22070566,383.1433017081666,387.84306693740666,382.24810157609323,383.4566345214844,29009002
2024-04-01,1078.3740966909645,1085.162724605495,1076.7998037410023,1081.916015625,10848191,384.12803010538937,386.1422233976248,381.12912513629533,381.9795837402344,9743648
2024-04-02,1076.7997448394613,1076.7997448394613,1061.844923446375,1063.763427734375,14380396,383.76991837937226,383.76991837937226,380.0996349174438,381.2186279296875,9194659
2024-04-03,1057.663530257279,1066.1740561722456,1054.9578793659232,1059.8280029296875,15477184,381.3528958145952,383.8594446123948,376.87692392461406,380.63671875,13152268
2024-04-04,1067.2562910312008,1068.2894057744195,1046.2997470246664,1061.451416015625,21419689,380.9500915414978,382.561440456257,375.89225185348187,378.44354248046875,19065447
2024-04-05,1052.7441775200211,1068.4861465296663,1050.235253168432,1065.9281005859375,15340637,378.21973637562843,386.4555320406198,375.9369803377719,382.740478515625,16768902
2024-04-08,1060.9594232885527,1074.1433454810406,1058.9425557038237,1069.6175537109375,8023461,383.4118724683771,386.18698442346965,382.9195166413107,384.1280212402344,8844633
2024-04-09,1074.3401972621416,1097.264488826385,1070.749156482513,1089.19677734375,12298463,385.3365412299807,386.2764829149658,380.9500805003139,381.6662292480469,6967273
2024-04-10,1093.0337202336968,1098.5435054120717,1087.3273285870816,1091.5087890625,10598000,383.4118639636001,391.9162226475416,381.1291078862097,391.1553039550781,14547618
2024-04-12,1085.703967727192,1093.9192841060571,1078.1281928847723,1086.5894775390625,12216657,389.4096847827078,390.08109199273235,383.411874944211,385.0232238769531,18785009
2024-04-15,1082.4570746408115,1088.3111913118553,1059.2376948297706,1060.95947265625,10526597,383.14327835057276,384.17275985826257,378.5777948380354,381.26336669921875,9083087
2024-04-16,1053.2852301148173,1057.2698434841036,1045.5617314093265,1049.8416748046875,11278092,378.89109926093727,382.2480782730736,378.84635769841657,381.26336669921875,10357752
2024-04-18,1056.6796031480021,1060.664336843005,1033.5093459321554,1038.4287109375,16564216,381.35292440864043,382.1585846561629,373.87804738734405,374.9522705078125,22133191
2024-04-19,1035.9690203029174,1054.7118488668307,1031.1972603055262,1050.0384521484375,11284433,374.19136796591687,381.5767338052428,372.4009960212404,380.23394775390625,17221280
2024-04-22,1061.4022313877736,1071.1424779233496,1053.0884325476727,1069.1256103515625,10346714,382.24809683901475,382.7852225858655,378.9806575358475,380.7262878417969,7386048
2024-04-23,1082.2603648639933,1082.2603648639933,1065.239312903183,1072.6676025390625,9848215,380.72626885904805,385.3812638619412,380.5472174952533,384.217529296875,12484384
2024-04-24,1074.6353155118281,1080.686158658188,1071.4377281688085,1079.062744140625,5461309,384.2623095810225,385.6498655834832,383.4118793527575,383.9490051269531,6070285
2024-04-25,1072.4215900322672,1107.4966871577883,1072.3723483406734,1095.78857421875,19905338,385.82891540742,392.36382269137283,384.0385150815419,391.69244384765625,30337038
2024-04-26,1094.2144193811591,1101.9377986819404,1084.9659888361693,1090.032958984375,14190059,393.2142129703609,396.83975482059645,390.6629225550479,393.8856201171875,15342965
2024-04-29,1090.1313056288498,1144.6870165205935,1090.032942347235,1141.4403076171875,28578063,395.67601031415643,396.07882622081183,389.0515639934862,392.2742614746094,12075706
2024-04-30,1141.2434493596547,1150.6887263324581,1128.2563736745785,1131.8475341796875,29568491,393.84088171444273,394.3332375377621,389.49919080754,389.9915466308594,12528665
2024-05-02,1124.5668940413143,1136.8653071432534,1114.9741318218018,1121.0740966796875,25118334,390.3048759623476,396.2131457894124,389.27539438775926,392.9904479980469,24123523
2024-05-03,1122.8942974020772,1138.734628603609,1117.1385442991193,1123.6322021484375,19933604,393.93039811859694,393.93039811859694,386.14218854115893,390.7076721191406,23786388
2024-05-06,1123.1403237344898,1139.767682131019,1119.7458896646774,1127.813720703125,14970524,392.0952475427761,394.2884921290817,387.93260805370363,389.1858825683594,10753860
2024-05-07,1129.4369636309043,1134.1596020771042,1108.1362092373274,1113.6458740234375,15097728,391.11052780582645,399.25681198237896,389.5886904450738,394.1989440917969,26969062
2024-05-08,1108.3822015675178,1113.7442614996105,1098.0515348309932,1104.889404296875,19913090,395.00464621540885,398.09306260698986,392.27430420837044,394.7808532714844,10916481
2024-05-09,1102.4790338657724,1110.6451084134283,1092.0991247743116,1097.7071533203125,12229853,393.9303849229235,395.2284008948065,378.98063186624165,380.5472106933594,24314298
2024-05-10,1099.9700317150034,1110.6942716080541,1094.1160353113987,1099.035400390625,8573656,381.8005259086496,390.6181892842415,381.8005259086496,387.9326171875,14524604
2024-05-13,1094.4604418124766,1112.4161255815404,1088.8522931770124,1109.808837890625,9707983,387.8430593472191,389.8125109477641,384.48608019612794,386.5898132324219,7584217
2024-05-14,1107.7427007496667,1109.7104468669584,1100.5112577889583,1102.47900390625,8944262,385.38127935657843,387.88782832259807,383.6356490674802,384.6651306152344,11423749
2024-05-15,1104.003936981434,1109.612085486358,1095.5426526828924,1106.2176513671875,10743423,385.60509663039625,387.84308286683984,382.02432432634987,382.96429443359375,7856433
2024-05-16,1114.7280745625576,1118.220871645328,1094.8538886172073,1112.8095703125,14265565,384.93367347333725,387.2611709473564,378.57778988889186,386.231689453125,23911954
2024-05-17,1112.8096108108375,1125.5507181902365,1102.528065843281,1112.2684326171875,8641784,387.08216474486596,391.64764839572535,383.9489785643487,390.57342529296875,11894830
2024-05-21,1104.1022778238569,1115.5153011731006,1098.2482812745363,1102.8724365234375,10452900,390.30487284063116,391.28958447059944,387.7983238293244,389.2306213378906,11175153
2024-05-22,1106.857133236162,1107.742642963088,1080.3909253188892,1093.1812744140625,17527411,391.51338645338825,395.63128444260855,389.7677560924288,393.796142578125,11036895
2024-05-23,1097.5596331640875,1118.6636621265907,1093.4765359706398,1116.2039794921875,13787687,395.13891666458176,398.2721029063194,390.79722586221516,395.0941467285156,27244733
2024-05-24,1111.7764420624583,1116.6958068503454,1106.0208092809664,1113.6949462890625,6312670,394.78083588666976,396.0788519270615,389.67822648183704,390.48388671875,13252938
2024-05-27,1113.6459433951586,1129.2895491082788,1103.4628812192523,1111.579833984375,11599857,392.8113936754333,392.900905170469,385.56031003732085,386.2764587402344,12282545
2024-05-28,1114.2361779831701,1116.8925870555686,1106.8571304468578,1108.775634765625,9311718,386.81362516359485,387.17169955273744,383.3671059718784,384.03851318359375,9668761
2024-05-29,1097.067741329381,1105.4306626270395,1080.7845935856149,1084.2281494140625,19268547,380.905302219086,387.08216305407205,380.905302219086,385.78411865234375,10832067
2024-05-30,1079.308747806472,1102.9217012680538,1079.2103845207203,1095.7393798828125,15255387,383.59092107640083,385.78413731361627,378.0854671434653,379.4282531738281,21314885
2024-05-31,1099.970086377496,1112.366862972861,1093.328943190512,1102.970947265625,26197718,382.02430017549347,384.53084914126174,379.7863140805311,381.7557373046875,29300711
2024-06-03,1151.1314549939386,1154.0830741093077,1117.974981638635,1141.292724609375,25699977,388.514477016602,389.3201656528504,383.725200249957,385.24700927734375,16116836
2024-06-04,1139.2266772303517,1140.70248686833,1036.5595441020037,1054.1707763671875,43476837,388.3822180405629,388.6557312027862,367.2764561221505,378.535888671875,47791986
2024-06-05,1067.5022525173526,1105.1353964425034,1034.0998107211954,1090.7708740234375,42172104,384.7353989949108,397.4991534256846,381.13421955458244,392.302490234375,28197030
2024-06-06,1099.9699641517404,1099.9699641517404,1078.9150588855664,1092.4925537109375,18574162,397.49917476941124,399.0490345527086,393.03186047876784,396.9521484375,32318523
2024-06-07,1092.4926581643756,1110.104009770429,1085.8022733872265,1103.6103515625,17197635,393.3053706719897,402.6502400373076,393.03185750810144,400.3710021972656,29543660
2024-06-10,1098.0022563128857,1114.9248236920885,1097.1167466019742,1105.676513671875,10851455,401.14593572253284,402.05763661284067,397.36240447731143,398.3196716308594,11872688
2024-06-11,1101.691799247928,1110.8418662508757,1093.0829104393374,1100.166748046875,12250002,398.4108722591482,399.1402214325666,394.0803145887873,394.7640686035156,13158571
2024-06-12,1102.9216850641683,1115.1217348604168,1094.0668276461688,1101.4951171875,16096514,392.5303996702627,396.04041761505835,392.2112913693166,394.1258544921875,10751658
2024-06-13,1104.1023123749185,1105.0861854460427,1087.1797435922592,1089.4918212890625,12494254,398.31966398522343,398.31966398522343,391.801059088471,392.302490234375,9641349
2024-06-14,1096.0345294527124,1096.0345294527124,1081.719129164698,1087.8192138671875,11377979,392.9406665240471,393.7611770597148,391.1628599867876,393.0774230957031,9572809
2024-06-18,1095.9853271941342,1116.7451444635597,1083.4409459075023,1104.7418212890625,18306176,394.7640665251691,395.8581191738071,390.38794261342787,390.8893737792969,14641141
2024-06-19,1109.75950368303,1146.75322461017,1107.9886043418487,1125.993408203125,34309514,392.0290022211883,392.71275624893684,385.6927197561344,386.23974609375,11329972
2024-06-20,1135.4387582520144,1141.2927549457575,1117.1878648628515,1138.1444091796875,15475933,386.6044066765355,388.8380493170652,384.2795737201941,385.9206237792969,15147549
2024-06-21,1144.7856018547059,1151.0331720647125,1132.0936147522461,1139.964599609375,69259425,387.47051347196447,387.74402663160475,381.5900672225091,382.54736328125,26176371
2024-06-24,1136.0290674652065,1156.6904019928488,1134.0613213197169,1151.2298583984375,12210295,382.9120368199867,386.5132163607238,382.9120368199867,385.9206237792969,9723008
2024-06-25,1151.3775003551193,1186.550963835312,1148.819454304172,1178.6307373046875,27309845,385.64711062040146,386.5588115186297,382.68411881899715,385.9206237792969,10655609
2024-06-26,1182.6154524579229,1203.1291823342124,1174.59686276576,1198.357421875,25403461,385.6470779268525,388.74685493918827,384.780972259955,386.51318359375,11511714
2024-06-27,1208.5404862113423,1215.0832662808862,1189.600929226802,1200.226806640625,20516632,386.5131947998345,389.52181048558475,383.9148777238095,388.01751708984375,38438054
2024-06-28,1207.2121725758393,1207.2121725758393,1177.0564410661386,1180.2540283203125,12507092,387.9263614555754,390.2055993306075,386.1029884921122,387.3793640136719,18554411
2024-07-01,1180.25407382428,1195.7500741919466,1172.8259044392062,1192.3065185546875,8636894,388.6557165788598,392.25689602791135,387.1513942432347,391.1628723144531,13391362
2024-07-02,1197.37356592243,1197.37356592243,1166.430804884834,1171.3992919921875,16153925,392.02896997249417,392.6215625266498,385.23682315339903,387.92633056640625,11177863
2024-07-03,1177.54840489326,1196.24199235147,1160.428990253299,1182.2218017578125,22330897,388.4733708395652,391.70987576739714,387.9263445272619,390.4790954589844,7435499
2024-07-04,1209.179986290108,1215.033982934888,1194.7171004020095,1213.115478515625,15275791,392.0289780327245,393.3965148981146,389.33947056442025,391.1628723144531,9478861
2024-07-05,1205.2444756355717,1222.5606171427328,1201.1613784936928,1213.509033203125,9535575,391.1172630223574,395.6757383384228,389.84088762231767,395.3566589355469,13427543
2024-07-08,1209.0816030717467,1219.5106332770943,1197.2751265898385,1215.1324462890625,6617190,396.72422041086423,405.29414529158566,395.3566835098957,404.42803955078125,21311436
2024-07-09,1215.0339475267522,1230.038011199292,1209.4751610015549,1228.1195068359375,13366874,408.07479488064865,414.8213465379182,404.79269491641344,412.6332702636719,27489709
2024-07-10,1232.5470372074883,1232.5470372074883,1216.4114942007566,1223.1510009765625,18226503,413.6361603295421,415.1404827339749,407.0719599600082,411.5848693847656,12065662
2024-07-11,1226.2501602309792,1237.5155787915146,1205.2937361837155,1218.4775390625,11307116,410.2629071737522,418.9240227196027,409.07769306817414,418.1490783691406,19556596
2024-07-12,1215.9687089511149,1232.6945505595163,1210.2621973028672,1213.01708984375,12208290,418.14905833228465,422.3428593192128,415.5963073929136,418.51373291015625,19693114
2024-07-15,1213.213848187686,1218.4775450466864,1204.309869041595,1210.1146240234375,15612671,418.5137615167691,425.2603139042144,416.82711619633983,422.4796447753906,16876907
2024-07-16,1210.1638079399554,1224.9219031587354,1209.1799349253702,1219.9041748046875,12320605,422.5251950379047,425.5338109620082,420.6562269340028,424.43975830078125,13497253
2024-07-18,1214.984806208363,1236.187197550179,1211.8363405098085,1230.136474609375,10999632,422.1149345797316,429.31732238979913,421.7958262702707,428.7247009277344,21907158
2024-07-19,1223.9381496090357,1230.333324828054,1220.2486254442174,1228.51318359375,7958817,429.40848412543824,437.0667368269077,427.94975694190003,432.6449890136719,25939326
2024-07-22,1220.002555200142,1225.2171302912695,1213.0170807189304,1221.134033203125,9958965,432.6905848326919,437.11230375842484,424.71325270358847,425.3514404296875,18762384
2024-07-23,1221.1341050565184,1228.5131532036169,1192.9461171142627,1206.96630859375,19369832,425.3514491191427,453.4772470105013,425.21469253973703,448.7364196777344,56125835
2024-07-24,1205.2444794873966,1213.7550053424823,1182.6646411572679,1203.2767333984375,20122521,452.2008718247006,465.55721919731405,447.3233168036432,450.4230651855469,43693692
2024-07-25,1186.0589540798987,1198.6033353860112,1171.3992217096722,1178.58154296875,14154461,446.7307164122864,452.20089316741996,441.853161161021,446.6851501464844,18567567
2024-07-26,1170.808877642708,1200.3250678353813,1166.824143926023,1187.7314453125,19309265,450.42308880903994,461.6825218161174,444.36031941248064,457.8534240722656,21534703
2024-07-29,1195.5532610278044,1222.708130922957,1184.7306583803272,1193.1427001953125,28458261,460.8619798639512,461.5001675935918,450.423058192173,452.2464599609375,12978187
2024-07-30,1193.4379877337221,1211.0000973333736,1184.976703679443,1189.9451904296875,23972277,452.4744082624718,453.84194523349976,445.4999379265304,446.6395568847656,13891052
2024-07-31,1199.341350948273,1204.9002581785046,1191.4703658723204,1195.3074951171875,22297629,448.9643640042543,453.97867557287424,447.1865573764219,451.6082763671875,11982586
2024-08-01,1192.946036063854,1202.9323712314479,1187.4363711753606,1190.584716796875,8725046,452.155294892808,452.88467297760064,447.59681911064166,450.10400390625,12114803
2024-08-02,1177.69611282763,1182.271146810082,1170.9073643473816,1177.25341796875,10735395,441.9898988909283,455.3462174298525,441.9898988909283,445.9101867675781,22141163
