,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2024-01-29,3564.4311359857325,3582.4370565517297,3545.7218573588943,3564.61865234375,1646747,410.4091370302086,411.62442230982873,402.8472985559007,404.91778564453125,18557346
2024-01-30,3570.6673355072853,3608.5080891700763,3551.4891523141855,3564.196533203125,1411621,402.3971972082923,408.42863094204745,393.75510841111077,394.3402404785156,45190319
2024-01-31,3574.184071078628,3595.566200692752,3560.351363342525,3578.638671875,2459358,396.0956560808038,398.34619909494756,394.92536344246855,397.4909973144531,20648695
2024-02-01,3582.4367479301113,3662.0567819751186,3568.4165242500367,3614.462890625,2363107,397.89614860138937,403.07238102310146,395.4655493074385,398.7063293457031,19903526
2024-02-02,3634.063444426215,3736.612908383376,3631.2030759637855,3719.638671875,2826510,400.5967720892722,402.5772455250547,395.64558849981586,396.1856994628906,17816750
2024-02-05,3735.300332044272,3771.8749524182936,3715.700178349996,3726.20361328125,1691523,397.89611107625,399.3814660761637,392.9899203450033,394.3402404785156,12505666
2024-02-06,3748.4294655539775,3891.820633736524,3741.864790482955,3878.78515625,4474396,396.095655967197,396.90583661619564,386.6433581922035,388.3537902832031,19487043
2024-02-07,3894.7280181656797,3896.603639652877,3820.594033092657,3829.456298828125,2124267,391.59456333742565,391.59456333742565,387.8136442911793,388.7138671875,13376903
2024-02-08,3835.6456317898123,3899.4167572083225,3831.9413254430674,3877.003173828125,2345173,392.08703057366546,392.17841802252724,373.4423399489455,378.88037109375,50039587
2024-02-09,3879.3008122308597,3924.5034728185747,3845.0240130368975,3876.62841796875,2100596,374.81326995012324,387.7000589587421,373.4423423447581,379.7486267089844,33527317
2024-02-12,3873.1582239962727,3900.917512535836,3850.2285690197773,3864.436767578125,1013716,381.62222138780527,382.0335083512696,371.1117379944829,371.8428955078125,11326971
2024-02-13,3868.890906690215,3910.6701855786464,3827.6739478271575,3891.445068359375,1257415,371.88862153996564,375.4530507956858,368.5983836063643,371.75152587890625,16207766
2024-02-14,3851.588722467118,3858.9973357555955,3797.6646047310915,3845.117919921875,1391283,371.0660969640242,376.7783199362087,369.60375282087,376.1385498046875,12618012
2024-02-15,3871.282423660838,3888.444175657724,3829.0809437517446,3848.02490234375,1091582,377.46374115666544,378.8803769826403,368.4612807413084,369.1467590332031,21169031
2024-02-16,3857.4498528668705,3889.9920672478725,3845.1177337734257,3871.563720703125,1307556,370.15210830847485,374.31059937497434,365.0339476322224,369.7865295410156,38963810
2024-02-19,3866.640503768057,3871.56401029997,3802.822664172948,3848.587646484375,772291,370.1521379280326,377.23528866691095,369.7865591313197,374.03643798828125,17602580
2024-02-20,3828.2371155114192,3843.1482139238024,3760.6208730684352,3779.986572265625,1193648,375.133187013915,375.133187013915,369.5123517065761,371.157470703125,14626643
2024-02-21,3763.434414830734,3810.6532761089843,3733.04943912238,3743.271484375,1885939,371.98002129088223,374.8132930919039,366.7704728961171,368.64410400390625,20162369
2024-02-22,3724.0458793930648,3840.287457059293,3724.0458793930648,3832.92578125,2982052,371.88862598407167,379.4287715687956,368.73548367384933,378.78900146484375,19321180
2024-02-23,3873.1583931027276,3873.1583931027276,3794.757322908657,3800.10302734375,2538072,380.1142172699116,380.1142172699116,375.1788603578767,376.0014343261719,11576964
2024-02-26,3785.0037308931537,3798.133079811019,3735.065314473416,3752.227294921875,1379284,375.7272290145601,377.5094435802666,372.254187332029,373.99072265625,8289561
2024-02-27,3750.305228133252,3867.531573098657,3750.305228133252,3849.150390625,2960475,374.7218905950383,377.2352627534842,373.396642202815,375.7729187011719,8083518
2024-02-28,3840.8976823678586,3896.509674983892,3834.7080400231876,3862.795654296875,1939225,375.77291141482976,376.86967667427535,371.7972242470729,373.16815185546875,8949664
2024-02-29,3844.0858367320416,3880.7543245620564,3811.778305779147,3840.428466796875,3772719,373.8079334221908,375.6815355101058,369.69512150470285,371.3402404785156,15468800
2024-03-01,3851.776300908435,3882.5363087877504,3832.6448252006635,3839.725341796875,2043265,373.71653890782403,377.6008386718984,372.4369987339359,374.264892578125,12873024
2024-03-04,3849.7131636292625,3861.810830830789,3822.422778973925,3826.92431640625,1749271,376.7783024509622,377.41807255279343,373.30526061731956,373.8993225097656,7103794
2024-03-05,3809.386993519725,3811.2626148853183,3732.4865175304053,3762.59033203125,2070859,374.4019753243948,376.00141496954745,369.1924273577834,371.203125,10108373
2024-03-06,3745.662985779128,3818.7652862706927,3712.276832263034,3811.544189453125,1744204,371.5230649154743,374.67620737600237,366.22212892485004,372.75689697265625,11534613
2024-03-07,3812.200473461429,3867.5313044415575,3786.598195707899,3853.089111328125,2688905,372.7568522385688,379.24594026182575,368.91823189254467,377.9664001464844,23907135
2024-03-11,3834.70829378674,3894.7281839316047,3834.70829378674,3865.984375,2304068,380.93677184044,382.3076994185439,372.89395230116753,374.1734924316406,18298683
2024-03-12,3865.9837495151633,3966.8922650781215,3864.7643209446364,3931.53662109375,4039801,371.5230466797454,371.5230466797454,364.9882499867776,369.6494445800781,36226074
2024-03-13,3943.4942087066347,3977.25539574907,3874.9401512123873,3890.976806640625,2837260,397.570769566704,400.312624757367,384.9124927232159,386.1006164550781,105525827
2024-03-14,3895.1497744818453,3962.2499424114544,3831.8942638327107,3945.93212890625,2919608,385.6436791824383,388.88820903370987,382.03354157679445,383.54156494140625,31949569
2024-03-15,3931.8653458631275,3975.3796720157243,3917.2354069378816,3956.85791015625,3373143,381.3023729581571,391.67576129877517,379.5201583123318,383.03887939453125,76074975
2024-03-18,3953.106408331295,3990.1499296240027,3861.76374108121,3894.2587890625,1526904,382.94748912903253,384.5012206480152,381.028178834862,381.5308532714844,16547358
2024-03-19,3799.305894869941,3805.636117588947,3719.920304502826,3729.954833984375,8931209,382.03349719564545,383.45013294004895,373.53371169513395,374.3105773925781,21803126
2024-03-20,3738.113425638154,3768.123367840969,3713.9178639455963,3723.952392578125,1817913,374.72190907693994,380.79971076564425,374.3106220763875,379.93145751953125,20364534
2024-03-21,3741.9114094702163,3759.1200974295043,3702.476426060684,3725.874755859375,3829582,382.94746988018204,385.6893250392281,380.3883896165868,385.0038757324219,19968509
2024-03-22,3654.6486037932596,3693.098845711536,3615.2605510964886,3667.68408203125,5852485,385.00389452753257,392.68110672719376,385.00389452753257,391.7214660644531,40358503
2024-03-26,3634.0165571732955,3701.257540323518,3630.6872833100233,3636.361083984375,3440925,388.93390016963383,392.26984629600133,388.93390016963383,390.85321044921875,10669833
2024-03-27,3646.6769913107573,3652.772761001774,3591.252286075508,3602.037109375,1968575,390.25910380854657,391.9956391146203,389.756429396083,391.1730651855469,12698464
2024-03-28,3610.6652440946027,3671.529069915745,3601.6621693515754,3635.23583984375,4311783,391.1730509344977,395.9713117815528,390.2590895907945,391.4929504394531,29009002
2024-04-01,3655.304582916496,3688.6907341711717,3646.254801582969,3673.169921875,1569676,392.17842745488764,394.23483338215703,389.11667266822633,389.9849548339844,9743648
2024-04-02,3648.083912259489,3666.699547713614,3632.141129095373,3642.26953125,2142666,391.8128590335726,391.8128590335726,388.06565481612205,389.2080993652344,9194659
2024-04-03,3611.509094088183,3733.424488071944,3611.509094088183,3701.8203125,3973090,389.34520020712586,391.90428066572207,384.7754219498934,388.614013671875,13152268
2024-04-04,3728.6417382256623,3778.111256202073,3690.5198221169708,3754.337890625,3394637,388.9338972480882,390.5790161945303,383.7700572984611,386.37481689453125,19065447
2024-04-05,3730.610939757806,3753.1183964079287,3714.199252617092,3731.783203125,1636819,386.1463241399223,394.55472252991405,383.81572695487466,390.7618103027344,16768902
2024-04-08,3735.300320958678,3781.862534405873,3713.7306731098083,3725.500244140625,2302538,391.4472482618613,394.28051978119635,390.94457385997055,392.17840576171875,8844633
2024-04-09,3736.237662579727,3766.1070236289547,3680.953770065772,3701.11669921875,1876992,393.412271990678,394.3719126015798,388.9338815526786,389.6650390625,6967273
2024-04-10,3710.3542591400274,3742.052307422326,3674.3424188992844,3736.847412109375,2101965,391.44727259062495,400.12986258026945,389.1166753283321,399.3529968261719,14547618
2024-04-12,3724.0460679227617,3763.762440285618,3700.131896496917,3752.555419921875,4354821,397.5707980604603,398.25627639020945,391.4472882010774,393.0924072265625,18785009
2024-04-15,3752.555521752734,3811.450077595125,3675.326950485817,3696.099365234375,4200329,391.1730638575208,392.22412088579836,386.5118985063276,389.2537536621094,9083087
2024-04-16,3659.337150142385,3684.376648663715,3622.6219548397376,3631.953125,3051420,386.831769055941,390.2591024836234,386.7860898150879,389.2537536621094,10357752
2024-04-18,3635.704595429841,3691.2229435040135,3610.571222685582,3621.824951171875,3476284,389.34519094310184,390.16773594755756,381.71365795919775,382.8103942871094,22133191
2024-04-19,3599.317187756726,3612.962378176155,3564.5243218990936,3588.2509765625,2957749,382.03354071225175,389.5736864841606,380.205646774092,388.2027587890625,17221280
2024-04-22,3598.3795176848753,3636.829754907987,3574.9342510854167,3624.26318359375,1728883,390.2591469862357,390.80752966629024,386.9232295916741,388.7054443359375,7386048
2024-04-23,3635.9390541705266,3652.772710601142,3620.5121138030436,3633.735107421875,1807586,388.7054072770841,393.4579601647396,388.522603412523,392.26983642578125,12484384
2024-04-24,3648.0837008405756,3655.586186600659,3586.6101623523527,3592.7998046875,1317312,392.31553707695537,393.73217296540156,391.4472838462077,391.99566650390625,6070285
2024-04-25,3574.1840392334375,3632.7502707587055,3573.9965228878514,3612.63427734375,2856271,393.91498347737365,400.58684707283845,392.0870605648532,399.9013977050781,30337038
2024-04-26,3615.400944510773,3635.7046841917695,3566.07223748283,3583.703125,2039178,401.4550856562055,405.1566105910282,398.850326015204,402.14056396484375,15342965
2024-04-29,3599.3176762116937,3636.6425900369045,3581.686788233394,3629.51513671875,1110693,403.96849476986824,404.3797527972421,397.20521486639313,400.4954528808594,12075706
2024-04-30,3631.2028106924604,3640.3464644642195,3573.0585508105046,3583.046142578125,2203078,402.09483326873476,402.5975076783204,397.66215102986746,398.1648254394531,12528665
2024-05-02,3543.0955870607045,3630.35891420508,3543.0955870607045,3623.0439453125,2491044,398.48473777993564,404.51683088911363,397.4336807202778,401.2265930175781,24123523
2024-05-03,3648.224242496259,3651.459872612422,3561.430044438285,3604.381591796875,2962234,402.1862629337069,402.1862629337069,394.23483059983744,398.89599609375,23786388
2024-05-06,3613.384813638277,3694.9274124213143,3613.384813638277,3677.202880859375,2053831,400.31265418776957,402.551864091815,396.06277543320584,397.3423156738281,10753860
2024-05-07,3686.3462169354693,3739.988941315255,3670.12204659911,3731.501708984375,2062112,399.30727653728593,407.62428750266935,397.7535450760951,402.4604187011719,26969062
2024-05-08,3714.6681858171114,3736.5192209369857,3693.66131770256,3729.626220703125,1247685,403.28298749687275,406.43612962055266,400.49542413012136,403.05450439453125,10916481
2024-05-09,3715.606318089679,3724.0466151272376,3666.887093758869,3713.918212890625,1726486,402.18626860635175,403.5114880367474,386.92320277397204,388.5226135253906,24314298
2024-05-10,3716.1687445881325,3726.484662213695,3643.441479536376,3651.740966796875,1672489,389.80213909836215,398.80459931623363,389.80213909836215,396.062744140625,14524604
2024-05-13,3642.925840662716,3709.0414982162547,3629.327584853832,3702.289306640625,931326,395.9713447246366,397.98207143443125,392.5440111250424,394.69183349609375,7584217
2024-05-14,3691.2232635754413,3700.4138550943817,3650.8035270075748,3658.58740234375,1058317,393.4579641744985,396.0170445089671,391.67574958198725,392.726806640625,11423749
2024-05-15,3661.6818959693137,3682.7357004952323,3634.485385536964,3639.08056640625,1115021,393.68644240363693,395.97133139310563,390.0306258136693,390.99029541015625,7856433
2024-05-16,3675.6374588606977,3693.018499850829,3630.6731306245456,3684.94189453125,2599399,393.0010134485123,395.37729001022427,386.5119249062993,394.32623291015625,23911954
2024-05-17,3701.992923226846,3702.9375501529057,3617.9211268075583,3621.794189453125,2765804,395.19451234969523,399.8556779867922,391.9956618278003,398.7589416503906,11894830
2024-05-21,3618.4880769854944,3631.854456042576,3599.0759470919206,3608.663818359375,1908117,398.48476583327965,399.4901147555859,395.9256853161679,397.38800048828125,11175153
2024-05-22,3622.644183451547,3628.548101612322,3606.160490071024,3619.810302734375,1311168,399.71856660848556,403.9227658482658,397.93635202820826,402.0491638183594,11036895
2024-05-23,3628.2645114562283,3688.7679082914883,3613.6700725144915,3677.857421875,2095742,403.4201283779724,406.61897906710067,398.9874456251496,403.3744201660156,27244733
2024-05-24,3663.4995783587715,3668.742304212367,3631.429538571892,3636.341552734375,1309452,403.05451410700533,404.3797335120663,397.84496600489564,398.6675109863281,13252938
2024-05-27,3641.536348334576,3691.9322808384495,3628.642284641714,3634.026611328125,1841538,401.04380974465363,401.1351971930909,393.64076020528995,394.3719177246094,12282545
2024-05-28,3644.3707893386604,3655.7063127891693,3617.921234620806,3627.27294921875,1801993,394.9203077808962,395.2858865474374,391.4015578418531,392.0870361328125,9668761
2024-05-29,3635.774396680819,3635.774396680819,3589.582233347775,3593.030029296875,1568095,388.8881674070639,395.19448048921834,388.8881674070639,393.8692321777344,10832067
2024-05-30,3567.8558516313005,3584.2922676744465,3509.714018991741,3529.220703125,2919230,391.63006488826727,393.86924566680193,386.009229872296,387.3801574707031,21314885
2024-05-31,3532.904510318457,3542.1618998121,3451.430442400017,3467.677978515625,10956800,390.03063052557883,392.5897108592454,387.7457415085067,389.7564392089844,29300711
2024-06-03,3526.1032967744277,3543.815050940118,3491.3409811408733,3497.811767578125,2156773,396.6568386124209,397.4794126122737,391.7671897218955,393.3208923339844,16116836
2024-06-04,3495.1194153242764,3537.627624429572,3392.6274000370645,3509.288818359375,3395997,396.52177031965385,396.80101565647095,374.97368265988365,386.4690856933594,47791986
2024-06-05,3510.2337143515874,3574.2794671048623,3495.1196832887176,3538.99755859375,2799670,392.7985512208221,405.82980402897,389.12189949981456,400.52423095703125,28197030
2024-06-06,3571.63435096414,3627.2727837806888,3534.321587974697,3618.298828125,4328036,405.829791944629,407.41213302436523,401.2688535975877,405.27130126953125,32318523
2024-06-07,3624.8168128885063,3698.2142761529285,3624.8168128885063,3678.329833984375,4552445,401.5481002254475,411.0888154566866,401.26885488700134,408.7618103027344,29543660
2024-06-10,3679.3217405498876,3689.6180814133613,3629.161960387638,3645.03173828125,1734661,409.5530068967988,410.48381488403055,405.6901817746213,406.6675109863281,11872688
2024-06-11,3632.0904200618043,3665.1050839975637,3628.3119124726636,3638.79736328125,1419898,406.7606160148987,407.50525061130764,402.33930016150435,403.0373840332031,13158571
2024-06-12,3659.8622913039767,3677.9047569591216,3615.5121054162055,3619.4794921875,2177001,400.7569418231023,404.34052174068876,400.43114573978,402.3858337402344,10751658
2024-06-13,3643.23713885556,3674.5987063691045,3638.7028835305373,3663.40478515625,1932323,406.66751056673644,406.66751056673644,400.0122909895558,400.52423095703125,9641349
2024-06-14,3673.654123447534,3673.654123447534,3616.031880832389,3619.857666015625,1860730,401.17580700990004,402.01351357567347,399.36074170092695,401.3154296875,9572809
2024-06-18,3614.1898098741085,3629.256562858962,3584.9063758687394,3603.84619140625,1774045,403.03737898986196,404.1543603703237,398.5695419674905,399.08148193359375,14641141
2024-06-19,3615.7007640544557,3621.5576348500226,3582.922259445668,3591.187744140625,1509050,400.24496579903524,400.94304962931466,393.77589043943306,394.3343811035156,11329972
2024-06-20,3585.8035709865335,3598.981069597492,3570.736818650082,3577.5380859375,2846526,394.70671932417883,396.98717382381864,392.33316337570244,394.00860595703125,15147549
2024-06-21,3615.08724810415,3663.0743420998706,3587.7403447033967,3599.737060546875,4642195,395.59096381210924,395.87020914994883,389.58727754803,390.56463623046875,26176371
2024-06-24,3597.8473681995324,3643.425611853127,3581.3636764636767,3605.45166015625,1702154,390.9369661412327,394.61361787534224,390.9369661412327,394.00860595703125,9723008
2024-06-25,3605.6408753024607,3634.5935975227003,3582.8752747763524,3625.903076171875,1338808,393.72936061017225,394.66016859976054,390.7042715187919,394.00860595703125,10655609
2024-06-26,3631.6179924136177,3652.8248194664434,3628.3117983770853,3642.339599609375,1639845,393.72935968027775,396.89410093743857,392.8451024171962,394.6136169433594,11511714
2024-06-27,3618.865541478185,3723.7191241208575,3606.679947095457,3716.3037109375,4526556,394.6135952603717,397.6852643999609,391.96082361688974,396.1494445800781,38438054
2024-06-28,3700.8591386940006,3740.722345851188,3682.013879060851,3687.96484375,2731571,396.05635546638285,398.38336062952527,394.19476903576367,395.4978942871094,18554411
2024-07-01,3668.9307461619287,3780.113282123888,3668.9307461619287,3757.91455078125,2658723,396.8010483258212,400.47770023042045,395.2651988468778,399.3607482910156,13391362
2024-07-02,3772.4619129298726,3800.61160880511,3762.0237400230303,3794.94384765625,2307449,400.2449871714336,400.84999908994706,393.3104927215312,396.0563659667969,11177863
2024-07-03,3797.4002085008037,3803.162524946505,3735.9994588608656,3745.681884765625,1821198,396.6148682361784,399.919202771963,396.05637752597346,398.6626281738281,7435499
2024-07-04,3778.3658747158024,3823.2356509992096,3761.598747788845,3798.29736328125,2518001,400.24500559718945,401.64120289640215,397.4991322255142,399.3607482910156,9478861
2024-07-05,3787.953922306711,3803.7764231043757,3767.172130214255,3789.654296875,1668616,399.31418163243075,403.96819211066986,398.0110563385377,403.6424255371094,13427543
2024-07-08,3799.2892844506714,3808.027083028784,3757.7729794930797,3772.083984375,1758882,405.0386270748445,413.78815742675266,403.64242981653535,412.9039001464844,21311436
2024-07-09,3764.3382334203675,3785.0727479543702,3754.9865192673674,3764.810546875,1305801,416.6271172393411,423.5150613210053,413.2762319022778,421.2811279296875,27489709
2024-07-10,3763.109966642414,3781.6247453008073,3685.933998497865,3692.68798828125,2669716,422.30497440394987,423.84082376971406,415.6032042617314,420.210693359375,12065662
2024-07-11,3713.3281952652137,3759.6149115124776,3679.8884965924376,3706.432373046875,4872189,418.86102924280897,427.70366090287615,417.6509759051689,426.9124755859375,19556596
2024-07-12,3759.6151284962884,3967.386003323572,3751.3969204452933,3952.27197265625,13509164,426.912503236289,431.19419667007304,424.3062524940008,427.2848205566406,19693114
2024-07-15,4001.156311371623,4005.2180225102193,3926.8610373129627,3938.338623046875,4848030,427.2847724121332,434.1727158121033,425.5627791871847,431.3337707519531,16876907
2024-07-16,3940.9831443093085,3962.284294879995,3915.3836649055647,3947.076171875,2029521,431.3803035660824,434.4519728201184,429.47216640057155,433.3349914550781,13497253
2024-07-18,3929.6474707764414,4085.5108920932958,3929.6474707764414,4076.583984375,5613364,430.9614860880629,438.31481926756675,430.63569000741666,437.70977783203125,21907158
2024-07-19,4087.8036289679508,4126.954757675217,4057.363435693197,4073.601318359375,3903354,438.40785446446665,446.2266057465609,436.9185558631909,441.7121887207031,25939326
2024-07-22,4071.2820847406656,4090.218499814398,4038.19051447339,4059.35205078125,1896386,441.75876374646487,446.27315152086356,433.614245462781,434.26580810546875,18762384
2024-07-23,4055.233855032219,4129.748843691779,4039.421761308917,4073.554931640625,2365208,434.26580514596367,462.9810529532946,434.12618247349457,458.140869140625,56125835
2024-07-24,4059.493937233536,4108.349980054808,4041.1257072749645,4077.246826171875,1809793,461.67791921290376,475.3141836420076,456.69814231888404,459.86285400390625,43693692
2024-07-25,4066.595241107577,4112.042638447079,4046.901553853059,4092.6328125,2810342,456.09309104663214,461.6779092226846,451.11331426036946,456.04656982421875,18567567
2024-07-26,4118.670552129421,4187.2679052166895,4106.4090376287495,4154.5078125,3552210,459.86288665413383,471.35829062734945,453.6730560146967,467.4489440917969,21534703
2024-07-29,4180.213339815366,4195.362470831685,4138.553229520491,4148.1162109375,1746803,470.5205683407357,471.1721309915476,459.8628713024175,461.7244873046875,12978187
2024-07-30,4157.585718481626,4164.11869081323,4097.178262267316,4133.205078125,1797906,461.9571661211897,463.3533633251995,454.8365279309325,456.0000305175781,13891052
2024-07-31,4118.670902108038,4179.267439518362,4113.936797622856,4152.14111328125,2330091,458.373614385957,463.49301427967293,456.55854906003475,461.07293701171875,11982586
2024-08-01,4165.443127805721,4184.2847683252885,4132.919742480951,4163.265625,2202244,461.6313905239546,462.3760546322901,456.97737997103144,459.537109375,12114803
2024-08-02,4132.873162297419,4164.118251496919,4042.9251782382544,4055.281005859375,2811282,451.25298409269624,464.88922015217565,451.25298409269624,455.25543212890625,22141163
2024-08-05,4013.5736879846177,4013.5736879846177,3891.907205581687,3934.087890625,2787771,446.83163592942134,457.86164997554926,446.36621719129073,452.3699035644531,25022076
2024-08-06,3949.14268931395,4031.7999662691227,3939.532087639672,3949.37939453125,2203067,452.6026191959533,457.6754978281909,450.55485925262013,452.649169921875,14251363
2024-08-07,4003.1587050867174,4019.207504026678,3957.995163908957,3977.073974609375,1237666,456.0930950965633,461.3055960404738,454.32458063337543,458.5597229003906,11320399
2024-08-08,3958.657803185393,4006.9456644536194,3938.7745661925937,3950.656982421875,2441283,459.8163204658485,463.5395227307948,458.42009380414777,460.514404296875,21349889
2024-08-09,3992.74326394149,4027.44415336694,3981.901980990388,4003.868408203125,1302536,463.5395573573386,463.5395573573386,458.9786187546684,461.5848693847656,9556181
2024-08-12,4005.052443408008,4013.573831585472,3963.7238032102878,3972.529052734375,936912,457.95473966191645,465.4011447621894,457.95473966191645,460.37481689453125,9425644
2024-08-13,3988.956299705632,4008.839537848005,3960.5516737879557,3973.760009765625,1495593,461.6313768042684,463.39992082169977,454.4642172856773,456.0931091308594,8056478
2024-08-14,3985.1689766880017,4077.2001486736017,3965.42766940822,4066.832275390625,3226545,457.9081745197849,464.47035162635643,456.0000373291409,458.140869140625,9609981
2024-08-16,4118.670675923561,4191.575880991633,4095.0949293450403,4181.2080078125,3457058,460.2817396441816,469.31051531176115,458.55974631588987,467.8677673339844,13643352
2024-08-19,4185.894947757169,4255.249574521071,4156.87498137627,4251.2255859375,2055210,469.82246388684206,474.057606447632,465.0288306148003,466.7508239746094,10591508
2024-08-20,4265.427758595415,4322.237007322546,4260.693654534821,4282.75439453125,2212298,466.3319395570424,468.56587282373647,463.2602997527288,464.2841796875,6888634
2024-08-21,4277.736579801988,4317.503055311436,4253.639804359008,4309.455078125,1896990,465.40113299398797,473.77837539474945,464.5168757294204,470.427490234375,8801221
2024-08-22,4317.502516242781,4318.402180859588,4258.042359497642,4262.5869140625,1829872,472.7079312298726,473.3129431304896,466.7507956705184,469.63629150390625,8686423
2024-08-23,4260.6939984141445,4266.374923745363,4218.087058430003,4226.513671875,1809253,470.10172179736895,471.8702364304628,465.35463912442765,470.7998352050781,8195369
2024-08-26,4250.279233485934,4310.070883859805,4246.491949695793,4263.01416015625,1844164,470.9859714327483,472.8475874897276,467.26276881861634,470.70672607421875,8126402
2024-08-27,4265.428242149461,4270.162346746741,4248.1959164894,4257.99560546875,930697,472.42870096422115,472.47525168876325,465.40113454893714,465.9596252441406,8260450
2024-08-28,4259.509780281284,4319.869602119113,4220.263875901587,4266.42138671875,1848058,465.77346700783545,467.54201110027503,462.1433658703206,462.88800048828125,8081932
2024-08-29,4222.821074859477,4313.715878264525,4222.821074859477,4271.8662109375,2133641,463.5395558890962,472.56833161488777,462.9345144591377,470.14825439453125,19389694
2024-08-30,4260.693828489569,4348.038051973605,4249.14242918416,4311.58544921875,3637222,467.21619895900704,473.91799878978713,465.58730710072587,467.169677734375,15523349
2024-09-02,4332.652011694428,4344.013861375445,4272.055480062339,4280.6240234375,1216500,469.12436710280446,477.40850809281204,468.47280445752887,474.7557067871094,16497266
2024-09-03,4280.623781915076,4313.620577631577,4256.811332431798,4272.38671875,1717263,474.7556771661306,480.2474233336446,472.75446813038855,474.1506652832031,12481552
2024-09-04,4238.869860215786,4248.3852249914535,4200.760320366018,4241.04736328125,1265505,465.40115282136196,474.75572483416937,465.3546315948188,471.311767578125,8739052
2024-09-05,4242.704111797141,4259.746886626945,4217.281880213047,4237.9228515625,1688793,473.1733400299588,476.47770400804217,471.9633161786824,475.8261413574219,11318636
2024-09-06,4236.029645395859,4278.6365868505345,4203.8848901946485,4219.744140625,1649179,476.57078709097436,476.57078709097436,462.74837792975984,466.9835205078125,14245025
2024-09-09,4218.0871166522065,4251.462553433798,4194.890004562873,4212.9267578125,1184938,467.26274749161126,477.17578026799583,465.72692758962387,476.33807373046875,14265060
2024-09-10,4206.204473662924,4298.5195066181295,4204.310831961278,4268.12646484375,1385591,476.477687995446,479.3631543513727,473.54564141627685,478.06005859375,11332248
2024-09-11,4281.003340307267,4307.419549702135,4233.4727484543055,4241.14208984375,1325919,477.50157364424496,483.5517812694099,476.5242149395142,478.7581481933594,15497555
2024-09-12,4270.399124104948,4291.560664475195,4195.647426325353,4277.453125,2742216,479.4562685547481,484.4825963244237,473.3595101165837,483.5517883300781,19085324
2024-09-13,4289.098178257309,4305.194131685647,4265.427658509752,4282.091796875,1458786,483.55177740140044,484.0171666381423,476.57076185132354,478.2927551269531,9165077
2024-09-16,4286.258044672285,4304.2947971775275,4255.43921052289,4273.2392578125,1155120,480.20089978594154,481.2247797226006,474.4299374611518,475.7330627441406,7821668
2024-09-17,4273.238899164255,4294.589522896417,4228.501617164474,4266.04296875,1699364,475.68650794774527,478.0135131474731,471.21864144436574,472.6148681640625,10889862
2024-09-18,4257.9000607847665,4257.9000607847665,4091.2124529893836,4115.02490234375,2961779,472.7079419349947,476.94308433487333,470.1482421053882,472.2425231933594,5638729
2024-09-19,4156.590462569691,4187.031121100962,4054.0971111064046,4067.68408203125,2927551,474.7091530835231,479.1770196230398,472.38214786497383,473.08026123046875,14461616
